       PrDM      T090C      C0S/m       FlSP     Upoly0     Upoly1      Sal00 Sbeox0ML/L  Sigma-t00       SvDM Potemp090C
      3.000    24.4617   5.258847 6.8039e-02  0.0097680  0.0876170    35.0582     4.7666    23.5478    1533.17    24.4610
      4.000    24.4624   5.258993 6.8828e-02  0.0097680  0.0858223    35.0584     4.7668    23.5477    1533.19    24.4616
      5.000    24.4622   5.259030 6.9129e-02  0.0097680  0.0833537    35.0586     4.7622    23.5479    1533.21    24.4611
      6.000    24.4633   5.259170 6.8563e-02  0.0097841  0.0882680    35.0584     4.7614    23.5475    1533.22    24.4620
      7.000    24.4708   5.259978 6.9707e-02  0.0097688  0.0848132    35.0583     4.7615    23.5451    1533.26    24.4693
      8.000    24.4653   5.259378 7.0813e-02  0.0097680  0.0836763    35.0578     4.7641    23.5464    1533.26    24.4636
      9.000    24.4569   5.258510 7.1104e-02  0.0097680  0.0837484    35.0575     4.7623    23.5487    1533.26    24.4550
     10.000    24.4294   5.255435 7.0249e-02  0.0097680  0.0834852    35.0556     4.7642    23.5555    1533.20    24.4273
     11.000    24.4086   5.252889 6.9762e-02  0.0097680  0.0890075    35.0525     4.7599    23.5593    1533.17    24.4063
     12.000    24.3210   5.243396 7.2178e-02  0.0097680  0.0860737    35.0495     4.7679    23.5833    1532.97    24.3184
     13.000    24.2741   5.238290 7.3059e-02  0.0097680  0.0850021    35.0475     4.7689    23.5958    1532.86    24.2714
     14.000    24.2669   5.237674 7.2241e-02  0.0097680  0.0869549    35.0482     4.7663    23.5985    1532.86    24.2639
     15.000    24.2573   5.236595 7.3465e-02  0.0097680  0.0904570    35.0472     4.7638    23.6006    1532.86    24.2541
     16.000    24.2541   5.236277 7.3112e-02  0.0097931  0.0911080    35.0470     4.7690    23.6014    1532.86    24.2508
     17.000    24.2495   5.235874 7.3939e-02  0.0097691  0.0847051    35.0473     4.7710    23.6030    1532.87    24.2459
     18.000    24.2471   5.235650 7.6104e-02  0.0097680  0.0849245    35.0471     4.7703    23.6036    1532.88    24.2433
     19.000    24.2360   5.234614 7.6057e-02  0.0097680  0.0888063    35.0478     4.7706    23.6074    1532.87    24.2320
     20.000    24.2186   5.233128 7.5875e-02  0.0097680  0.0872063    35.0499     4.7693    23.6142    1532.85    24.2144
     21.000    24.1842   5.229553 7.6104e-02  0.0097680  0.0878729    35.0496     4.7746    23.6243    1532.78    24.1797
