       PrDM      T090C      C0S/m Sbeox0ML/L       FlSP     Upoly0     Upoly1      Sal00  Sigma-t00 Potemp090C       SvDM      DepSM
      6.000    27.3382   5.620327    3.86263 3.5756e-01  0.0782768  0.0921044    35.4784    22.9695    27.3368    1540.38      5.967
      7.000    27.3401   5.620568    3.85407 3.5721e-01  0.0840354  0.0893839    35.4784    22.9689    27.3385    1540.39      6.961
      8.000    27.3458   5.621281    3.85908 3.7182e-01  0.0756876  0.0841215    35.4788    22.9674    27.3439    1540.42      7.956
      9.000    27.3303   5.619618    3.84304 4.0925e-01  0.0835657  0.0872082    35.4785    22.9721    27.3282    1540.40      8.950
     10.000    27.3204   5.618533    3.84592 4.1354e-01  0.0894003  0.0818845    35.4780    22.9749    27.3181    1540.40      9.945
     11.000    27.3000   5.616250    3.84539 4.5962e-01  0.0884751  0.0942974    35.4770    22.9808    27.2974    1540.37     10.939
     12.000    27.3053   5.616981    3.85080 5.2462e-01  0.0930583  0.0831578    35.4778    22.9797    27.3025    1540.40     11.934
     13.000    27.2955   5.615971    3.85655 5.5255e-01  0.0809543  0.0855175    35.4778    22.9828    27.2925    1540.39     12.928
     14.000    27.2824   5.614576    3.87186 6.0703e-01  0.0886622  0.0889510    35.4775    22.9868    27.2792    1540.38     13.923
     15.000    27.2722   5.613517    3.87009 6.2623e-01  0.0839374  0.0918663    35.4774    22.9900    27.2688    1540.37     14.917
     16.000    27.2672   5.612995    3.88448 6.2739e-01  0.0881672  0.0907282    35.4772    22.9915    27.2635    1540.37     15.911
     17.000    27.2592   5.612129    3.89600 6.2845e-01  0.0901636  0.0892713    35.4768    22.9938    27.2553    1540.37     16.906
     18.000    27.2585   5.612076    3.91057 6.7761e-01  0.0875467  0.0894411    35.4767    22.9939    27.2543    1540.39     17.900
     19.000    27.2569   5.611941    3.91375 7.0354e-01  0.0884159  0.0904409    35.4766    22.9944    27.2525    1540.40     18.895
     20.000    27.2556   5.611832    3.92637 7.2723e-01  0.0867750  0.0934578    35.4765    22.9947    27.2510    1540.41     19.889
     21.000    27.2541   5.611701    3.92597 7.2603e-01  0.0916374  0.0933119    35.4764    22.9951    27.2493    1540.43     20.884
     22.000    27.2493   5.611190    3.93412 7.4156e-01  0.0859795  0.0889007    35.4761    22.9965    27.2442    1540.43     21.878
     23.000    27.2472   5.610995    3.93847 7.8443e-01  0.0877429  0.0861345    35.4760    22.9971    27.2419    1540.44     22.872
     24.000    27.2430   5.610550    3.92602 8.0180e-01  0.0855494  0.0877574    35.4758    22.9982    27.2374    1540.45     23.867
     25.000    27.2418   5.610446    3.93507 8.0703e-01  0.0905756  0.0897723    35.4757    22.9985    27.2360    1540.46     24.861
     26.000    27.2421   5.610535    3.94703 8.1748e-01  0.0891359  0.0869499    35.4757    22.9984    27.2361    1540.48     25.856
     27.000    27.2409   5.610452    3.95095 8.7415e-01  0.0863676  0.0878789    35.4758    22.9989    27.2346    1540.49     26.850
     28.000    27.2401   5.610393    3.95549 8.9329e-01  0.0895715  0.0882595    35.4756    22.9991    27.2336    1540.51     27.844
     29.000    27.2399   5.610415    3.96961 8.8007e-01  0.0895304  0.0939846    35.4756    22.9991    27.2332    1540.52     28.839
     30.000    27.2409   5.610584    3.95267 8.7413e-01  0.0874331  0.0881693    35.4757    22.9989    27.2340    1540.54     29.833
     31.000    27.2351   5.609962    3.96135 9.6705e-01  0.0948259  0.0878173    35.4754    23.0005    27.2280    1540.54     30.827
     32.000    27.2340   5.609872    3.95661 9.6051e-01  0.0905228  0.0856912    35.4753    23.0008    27.2266    1540.56     31.822
     33.000    27.2345   5.609970    3.96040 9.5707e-01  0.0901399  0.0910426    35.4753    23.0006    27.2269    1540.57     32.816
     34.000    27.2327   5.609773    3.95738 9.8216e-01  0.0885090  0.0922248    35.4750    23.0010    27.2248    1540.58     33.810
     35.000    27.2324   5.609789    3.95847 9.9206e-01  0.0914781  0.0939850    35.4750    23.0010    27.2243    1540.60     34.805
     36.000    27.2314   5.609730    3.94758 1.0040e+00  0.0937113  0.0933003    35.4751    23.0015    27.2230    1540.61     35.799
     37.000    27.2295   5.609554    3.93666 1.0522e+00  0.0827670  0.0889570    35.4749    23.0019    27.2210    1540.63     36.793
     38.000    27.2272   5.609317    3.94136 1.0594e+00  0.0862985  0.0843810    35.4748    23.0025    27.2184    1540.64     37.788
     39.000    27.2264   5.609253    3.96167 1.1678e+00  0.0868874  0.0924410    35.4746    23.0027    27.2173    1540.65     38.782
     40.000    27.2275   5.609433    3.94859 1.1179e+00  0.0973539  0.0892057    35.4747    23.0024    27.2182    1540.67     39.776
     41.000    27.2259   5.609269    3.94750 1.0875e+00  0.0864416  0.0935022    35.4745    23.0028    27.2164    1540.68     40.771
     42.000    27.2251   5.609222    3.95201 1.0812e+00  0.0932492  0.0931297    35.4745    23.0030    27.2154    1540.70     41.765
     43.000    27.2258   5.609324    3.94605 1.1322e+00  0.0883815  0.0922762    35.4744    23.0027    27.2158    1540.71     42.759
     44.000    27.2236   5.609105    3.94724 1.1136e+00  0.0801636  0.0957781    35.4742    23.0032    27.2134    1540.72     43.754
     45.000    27.2238   5.609156    3.94274 1.1687e+00  0.0923775  0.0882932    35.4741    23.0031    27.2134    1540.74     44.748
     46.000    27.2237   5.609185    3.94820 1.3169e+00  0.0873856  0.0879019    35.4740    23.0031    27.2131    1540.76     45.742
     47.000    27.2234   5.609186    3.95293 1.1185e+00  0.0895349  0.0923761    35.4740    23.0032    27.2125    1540.77     46.736
     48.000    27.2225   5.609127    3.96126 1.1738e+00  0.0889309  0.0909249    35.4739    23.0034    27.2114    1540.79     47.731
     49.000    27.2225   5.609156    3.95242 1.1405e+00  0.0893057  0.0891822    35.4738    23.0033    27.2112    1540.80     48.725
     50.000    27.2163   5.608414    3.93542 1.1281e+00  0.0855191  0.0954576    35.4729    23.0047    27.2047    1540.80     49.719
     51.000    27.2134   5.608073    3.92877 1.1249e+00  0.0824284  0.0907444    35.4724    23.0052    27.2016    1540.81     50.714
     52.000    27.2106   5.607765    3.93547 1.1338e+00  0.0889209  0.0898415    35.4720    23.0058    27.1986    1540.82     51.708
     53.000    27.2118   5.607932    3.92447 1.1442e+00  0.0860169  0.0919605    35.4720    23.0054    27.1996    1540.84     52.702
     54.000    27.2059   5.607262    3.91961 1.1021e+00  0.0859952  0.0903793    35.4714    23.0068    27.1934    1540.84     53.696
     55.000    27.2009   5.606664    3.90769 1.0958e+00  0.0895691  0.0863028    35.4707    23.0079    27.1882    1540.85     54.691
     56.000    27.1894   5.605287    3.89835 1.1000e+00  0.0925773  0.0941132    35.4693    23.0106    27.1764    1540.83     55.685
     57.000    27.1865   5.605046    3.89142 1.1274e+00  0.0948519  0.0947408    35.4695    23.0117    27.1733    1540.84     56.679
     58.000    27.1400   5.599162    3.85312 1.0497e+00  0.0883263  0.0929596    35.4626    23.0214    27.1266    1540.75     57.673
     59.000    27.1414   5.599249    3.86528 1.0881e+00  0.0936436  0.0911500    35.4619    23.0204    27.1278    1540.77     58.668
     60.000    27.1277   5.597710    3.84942 1.0610e+00  0.0855925  0.0923467    35.4610    23.0242    27.1138    1540.75     59.662
     61.000    27.1141   5.595925    3.84808 1.0481e+00  0.0957660  0.0908550    35.4583    23.0265    27.1001    1540.74     60.656
     62.000    27.1274   5.597575    3.85576 1.0470e+00  0.0873124  0.0930922    35.4597    23.0232    27.1131    1540.78     61.650
     63.000    27.1217   5.596997    3.85712 1.0084e+00  0.0924314  0.0901924    35.4596    23.0250    27.1072    1540.79     62.644
     64.000    27.1230   5.597176    3.85241 1.0602e+00  0.0909274  0.0945071    35.4595    23.0245    27.1083    1540.81     63.639
     65.000    27.1144   5.596171    3.83711 1.1225e+00  0.0891349  0.0915272    35.4586    23.0266    27.0994    1540.80     64.633
     66.000    27.1016   5.594611    3.83295 1.0246e+00  0.0914292  0.0930585    35.4569    23.0294    27.0864    1540.79     65.627
     67.000    27.0916   5.593366    3.82757 9.5298e-01  0.0917921  0.0928160    35.4553    23.0315    27.0762    1540.78     66.621
     68.000    27.0917   5.593449    3.82285 9.8247e-01  0.0903018  0.0971659    35.4556    23.0316    27.0760    1540.79     67.615
     69.000    27.0767   5.591703    3.82051 1.0090e+00  0.0915900  0.0919905    35.4542    23.0354    27.0608    1540.78     68.609
     70.000    27.0718   5.591066    3.81726 9.9321e-01  0.0878002  0.0933770    35.4531    23.0361    27.0557    1540.78     69.604
     71.000    27.0672   5.590464    3.80340 8.9354e-01  0.0947087  0.0957672    35.4520    23.0367    27.0509    1540.79     70.598
     72.000    27.0565   5.589176    3.79340 9.1238e-01  0.0937235  0.0934466    35.4506    23.0391    27.0400    1540.77     71.592
     73.000    27.0547   5.588974    3.80313 9.2889e-01  0.0881929  0.0915453    35.4503    23.0395    27.0379    1540.79     72.586
     74.000    27.0491   5.588327    3.79012 9.0338e-01  0.0875153  0.0938001    35.4496    23.0408    27.0321    1540.79     73.580
     75.000    27.0447   5.587805    3.75549 9.3350e-01  0.0938510  0.0966263    35.4489    23.0416    27.0275    1540.79     74.574
     76.000    26.9933   5.581586    3.73514 8.6644e-01  0.0968684  0.0952611    35.4434    23.0539    26.9758    1540.69     75.569
     77.000    26.9689   5.578680    3.72347 8.9765e-01  0.0936088  0.0948949    35.4409    23.0598    26.9512    1540.65     76.563
     78.000    26.9380   5.574919    3.68062 8.4469e-01  0.0900455  0.0924629    35.4372    23.0670    26.9201    1540.59     77.557
     79.000    26.8762   5.567619    3.68521 7.0041e-01  0.0938013  0.0887068    35.4318    23.0826    26.8581    1540.46     78.551
     80.000    26.8987   5.570325    3.69726 6.5675e-01  0.0867753  0.0913412    35.4337    23.0768    26.8804    1540.53     79.545
     81.000    26.8961   5.570067    3.67269 7.5587e-01  0.0972048  0.0927515    35.4335    23.0776    26.8775    1540.54     80.539
     82.000    26.8854   5.568901    3.66134 7.6779e-01  0.0892754  0.0959913    35.4330    23.0806    26.8666    1540.53     81.533
     83.000    26.8400   5.563421    3.60112 6.1164e-01  0.0903511  0.0939108    35.4281    23.0913    26.8211    1540.44     82.527
     84.000    26.8161   5.560694    3.62266 6.4452e-01  0.0945172  0.0942588    35.4265    23.0978    26.7969    1540.40     83.522
     85.000    26.8195   5.561097    3.64122 6.5246e-01  0.0924557  0.0964064    35.4265    23.0967    26.8001    1540.42     84.516
     86.000    26.8232   5.561609    3.64290 7.5326e-01  0.0915391  0.0931409    35.4270    23.0959    26.8035    1540.45     85.510
     87.000    26.8207   5.561393    3.63766 6.9423e-01  0.0903727  0.0972599    35.4271    23.0967    26.8009    1540.46     86.504
     88.000    26.8320   5.562799    3.65430 6.9706e-01  0.0933595  0.0976052    35.4282    23.0940    26.8119    1540.50     87.498
     89.000    26.8730   5.567693    3.66418 6.6621e-01  0.0878214  0.0936081    35.4317    23.0836    26.8526    1540.61     88.492
     90.000    26.8575   5.565926    3.61638 6.3817e-01  0.0925791  0.0911880    35.4306    23.0876    26.8369    1540.59     89.486
     91.000    26.8138   5.560785    3.63188 6.8265e-01  0.0929315  0.0941800    35.4267    23.0987    26.7930    1540.51     90.480
     92.000    26.8118   5.560568    3.60626 6.2804e-01  0.0908294  0.0951238    35.4264    23.0990    26.7908    1540.52     91.474
     93.000    26.7585   5.554207    3.57653 5.7030e-01  0.0914951  0.0908729    35.4212    23.1121    26.7373    1540.41     92.468
     94.000    26.7657   5.555109    3.58673 6.1613e-01  0.0959664  0.0934847    35.4219    23.1103    26.7442    1540.44     93.462
     95.000    26.7536   5.553713    3.57375 6.6484e-01  0.0908451  0.0928486    35.4208    23.1134    26.7319    1540.43     94.456
     96.000    26.7257   5.550459    3.55169 5.9916e-01  0.0913929  0.0940160    35.4184    23.1204    26.7038    1540.38     95.450
     97.000    26.6820   5.545471    3.52089 5.8332e-01  0.0955064  0.0927666    35.4157    23.1322    26.6600    1540.29     96.444
     98.000    26.6726   5.544286    3.52432 5.5404e-01  0.0940581  0.0907671    35.4140    23.1340    26.6503    1540.29     97.438
     99.000    26.6769   5.544858    3.52571 5.4588e-01  0.0901703  0.0990253    35.4146    23.1330    26.6544    1540.31     98.433
    100.000    26.6667   5.543734    3.50707 5.2603e-01  0.0939492  0.0985892    35.4140    23.1358    26.6440    1540.31     99.427
    101.000    26.6609   5.543099    3.51564 5.9029e-01  0.0920047  0.0953770    35.4135    23.1373    26.6379    1540.31    100.421
    102.000    26.6386   5.540540    3.49570 5.3969e-01  0.0934635  0.0933886    35.4119    23.1432    26.6154    1540.27    101.415
    103.000    26.6390   5.540581    3.50716 4.9063e-01  0.0991390  0.0934700    35.4116    23.1428    26.6156    1540.29    102.409
    104.000    26.6414   5.540881    3.51821 4.8107e-01  0.0951611  0.0948139    35.4116    23.1420    26.6177    1540.31    103.403
    105.000    26.6425   5.541112    3.51651 4.5943e-01  0.0995721  0.0921484    35.4121    23.1420    26.6186    1540.33    104.397
    106.000    26.6411   5.540946    3.46345 4.6239e-01  0.0887861  0.0909742    35.4117    23.1422    26.6170    1540.34    105.391
    107.000    26.6101   5.537116    3.40431 4.8929e-01  0.1029608  0.0926273    35.4075    23.1489    26.5858    1540.28    106.385
    108.000    26.4219   5.513171    3.40337 4.9628e-01  0.0906447  0.0959133    35.3787    23.1866    26.3975    1539.84    107.379
    109.000    26.0665   5.465154    3.31151 4.1886e-01  0.0983707  0.0972737    35.3033    23.2414    26.0421    1538.96    108.373
    110.000    25.9371   5.447467    3.31381 5.0691e-01  0.0960679  0.0977234    35.2738    23.2596    25.9125    1538.64    109.367
    111.000    25.8635   5.438065    3.32103 3.3633e-01  0.1007513  0.0995543    35.2616    23.2732    25.8388    1538.47    110.361
    112.000    25.7874   5.427802    3.24301 3.3168e-01  0.0984552  0.1004378    35.2449    23.2843    25.7625    1538.29    111.354
    113.000    25.6137   5.404583    3.23345 2.9705e-01  0.1012154  0.0976901    35.2086    23.3107    25.5888    1537.87    112.348
    114.000    25.5513   5.397098    3.23515 2.9260e-01  0.1014844  0.0995276    35.2016    23.3247    25.5262    1537.73    113.342
    115.000    25.4972   5.389754    3.21364 2.5692e-01  0.0974642  0.0988395    35.1892    23.3320    25.4719    1537.60    114.336
    116.000    25.4538   5.384311    3.18978 2.3128e-01  0.0907658  0.0992344    35.1824    23.3402    25.4283    1537.51    115.330
    117.000    25.4105   5.378947    3.13654 2.3197e-01  0.1011114  0.1013526    35.1761    23.3488    25.3848    1537.42    116.324
    118.000    25.2443   5.359170    3.11737 2.2663e-01  0.0986900  0.0973229    35.1587    23.3866    25.2185    1537.02    117.318
    119.000    25.0253   5.333954    3.05044 2.0756e-01  0.0975664  0.1030778    35.1417    23.4406    24.9995    1536.50    118.312
    120.000    24.7944   5.306633    3.00948 1.9711e-01  0.1023483  0.1016416    35.1181    23.4929    24.7685    1535.94    119.306
    121.000    24.6420   5.289619    3.01969 2.1324e-01  0.0943979  0.1032818    35.1097    23.5326    24.6160    1535.58    120.300
    122.000    24.4962   5.274161    3.03704 2.0123e-01  0.1002877  0.1028589    35.1078    23.5749    24.4701    1535.24    121.294
    123.000    24.4183   5.265934    3.02705 1.9407e-01  0.0973234  0.0984001    35.1067    23.5975    24.3921    1535.06    122.288
    124.000    24.2168   5.243823    2.97269 1.8620e-01  0.1026959  0.1000257    35.0983    23.6513    24.1905    1534.58    123.282
    125.000    24.1438   5.236207    2.96198 1.9833e-01  0.1003668  0.1028947    35.0978    23.6727    24.1174    1534.42    124.276
    126.000    24.0116   5.223146    2.84204 2.0875e-01  0.1060516  0.1028041    35.1029    23.7158    23.9851    1534.11    125.270
    127.000    23.3943   5.157073    2.72566 1.9700e-01  0.1136699  0.1057989    35.0882    23.8859    23.3680    1532.58    126.263
    128.000    23.1988   5.152270    2.73293 1.7861e-01  0.1048837  0.1048883    35.2068    24.0329    23.1725    1532.24    127.257
    129.000    23.1134   5.146676    2.73924 1.7246e-01  0.1059261  0.1053751    35.2317    24.0765    23.0870    1532.07    128.251
    130.000    23.0303   5.145269    2.73411 1.6362e-01  0.1110216  0.1117140    35.2872    24.1427    23.0036    1531.93    129.245
    131.000    22.9228   5.133720    2.75191 1.5673e-01  0.1048570  0.0998198    35.2841    24.1713    22.8961    1531.67    130.239
    132.000    22.8356   5.123175    2.76332 1.4724e-01  0.1076378  0.1075236    35.2722    24.1874    22.8088    1531.45    131.233
    133.000    22.7022   5.106582    2.76387 1.4544e-01  0.1062619  0.1051268    35.2507    24.2094    22.6753    1531.11    132.227
    134.000    22.6339   5.098443    2.76254 1.4690e-01  0.1108890  0.1043237    35.2423    24.2225    22.6068    1530.94    133.221
    135.000    22.7009   5.116103    2.76123 1.4490e-01  0.1028885  0.1006134    35.3251    24.2661    22.6735    1531.22    134.214
    136.000    22.7897   5.142339    2.75924 1.4884e-01  0.1092137  0.1028579    35.4565    24.3404    22.7621    1531.61    135.208
    137.000    22.8235   5.148759    2.76144 1.4420e-01  0.1043660  0.1067793    35.4786    24.3475    22.7956    1531.73    136.202
    138.000    22.7253   5.138507    2.75265 1.4068e-01  0.1073418  0.1051093    35.4782    24.3753    22.6973    1531.50    137.196
    139.000    22.0432   5.057502    2.75422 1.2721e-01  0.1074154  0.1048783    35.3998    24.5095    22.0156    1529.67    138.190
    140.000    21.9050   5.040655    2.77314 1.1815e-01  0.1104513  0.1105762    35.3797    24.5330    21.8773    1529.31    139.184
    141.000    21.8408   5.033633    2.79779 1.1918e-01  0.1052930  0.1075928    35.3764    24.5484    21.8130    1529.15    140.177
    142.000    21.7178   5.018868    2.78915 1.1577e-01  0.1115864  0.1089100    35.3600    24.5703    21.6899    1528.83    141.171
    143.000    21.4157   4.981944    2.79478 1.1579e-01  0.1051623  0.1078597    35.3144    24.6193    21.3879    1527.99    142.165
    144.000    21.0915   4.942442    2.79563 1.1549e-01  0.1071274  0.1063519    35.2654    24.6710    21.0638    1527.09    143.159
    145.000    20.9572   4.925869    2.80443 1.0996e-01  0.1078872  0.1059762    35.2429    24.6905    20.9295    1526.73    144.153
    146.000    20.8868   4.917602    2.81491 1.0619e-01  0.1061039  0.1085833    35.2343    24.7031    20.8589    1526.54    145.147
    147.000    20.8320   4.910629    2.81541 1.0758e-01  0.1110666  0.1099061    35.2230    24.7093    20.8041    1526.40    146.140
    148.000    20.7493   4.900692    2.82102 1.0577e-01  0.1097719  0.1092777    35.2109    24.7225    20.7212    1526.18    147.134
    149.000    20.5508   4.876568    2.83506 1.0306e-01  0.1097023  0.1072133    35.1801    24.7524    20.5227    1525.62    148.128
    150.000    20.3588   4.854024    2.83270 1.1255e-01  0.1091746  0.1094319    35.1561    24.7856    20.3307    1525.09    149.122
    151.000    20.0466   4.815775    2.82445 1.0677e-01  0.1142972  0.1084586    35.1035    24.8284    20.0187    1524.19    150.116
    152.000    19.9685   4.805787    2.83544 1.0690e-01  0.1155225  0.1122151    35.0865    24.8361    19.9404    1523.97    151.109
    153.000    19.9947   4.811501    2.84341 1.1002e-01  0.1161318  0.1123309    35.1111    24.8479    19.9664    1524.09    152.103
    154.000    20.0485   4.822583    2.83773 1.0712e-01  0.1042804  0.1087852    35.1566    24.8684    20.0199    1524.30    153.097
    155.000    20.0891   4.831499    2.83573 1.0190e-01  0.1059282  0.1069450    35.1953    24.8872    20.0604    1524.48    154.091
    156.000    20.0508   4.827219    2.83648 1.0456e-01  0.1156407  0.1125072    35.1919    24.8947    20.0219    1524.38    155.084
    157.000    19.9519   4.816321    2.84194 1.0189e-01  0.1112499  0.1119214    35.1849    24.9155    19.9230    1524.12    156.078
    158.000    19.8789   4.808152    2.83887 9.6630e-02  0.1065168  0.1080605    35.1787    24.9299    19.8498    1523.93    157.072
    159.000    19.7323   4.791076    2.83480 1.0229e-01  0.1140457  0.1106542    35.1607    24.9547    19.7032    1523.52    158.066
    160.000    19.4847   4.761350    2.84524 1.0568e-01  0.1046807  0.1051183    35.1228    24.9903    19.4556    1522.80    159.059
    161.000    19.4452   4.758216    2.85931 9.8864e-02  0.1124561  0.1109307    35.1297    25.0057    19.4161    1522.71    160.053
    162.000    19.4565   4.762653    2.86205 9.4474e-02  0.1130220  0.1107610    35.1566    25.0234    19.4271    1522.79    161.047
    163.000    19.4203   4.759154    2.85398 9.5419e-02  0.1099875  0.1081193    35.1577    25.0336    19.3908    1522.71    162.041
    164.000    19.3516   4.752160    2.85504 9.6241e-02  0.1102222  0.1111015    35.1573    25.0510    19.3219    1522.53    163.034
    165.000    19.3192   4.748249    2.85657 1.0409e-01  0.1076225  0.1096875    35.1517    25.0552    19.2894    1522.45    164.028
    166.000    19.1204   4.726115    2.86334 9.9546e-02  0.1130853  0.1128638    35.1350    25.0935    19.0906    1521.89    165.022
    167.000    18.8976   4.699825    2.85547 9.3290e-02  0.1095112  0.1157346    35.1034    25.1263    18.8679    1521.23    166.015
    168.000    18.7441   4.682227    2.85608 9.5218e-02  0.1156078  0.1107758    35.0856    25.1517    18.7144    1520.79    167.009
    169.000    18.6393   4.670257    2.86312 9.5626e-02  0.1157935  0.1098838    35.0735    25.1689    18.6096    1520.49    168.003
    170.000    18.4978   4.654346    2.86699 9.1021e-02  0.1103643  0.1090716    35.0593    25.1936    18.4680    1520.09    168.996
    171.000    18.2155   4.621781    2.86247 9.3830e-02  0.1120273  0.1127083    35.0237    25.2369    18.1859    1519.25    169.990
    172.000    17.8505   4.580373    2.84518 9.0522e-02  0.1086531  0.1084600    34.9826    25.2955    17.8212    1518.15    170.984
    173.000    17.6803   4.568161    2.87098 8.5390e-02  0.1147356  0.1158000    35.0238    25.3687    17.6510    1517.72    171.978
    174.000    17.6436   4.572646    2.87787 8.4837e-02  0.1167003  0.1180696    35.0936    25.4312    17.6141    1517.71    172.971
    175.000    17.6299   4.578702    2.86198 8.4764e-02  0.1125289  0.1150753    35.1571    25.4832    17.6003    1517.75    173.965
    176.000    17.5268   4.571983    2.85331 7.8450e-02  0.1118247  0.1093355    35.1881    25.5320    17.4971    1517.50    174.959
    177.000    17.2723   4.546569    2.85815 8.5428e-02  0.1139631  0.1132008    35.1890    25.5942    17.2427    1516.77    175.952
    178.000    17.2090   4.543660    2.85448 8.3275e-02  0.1036958  0.1077439    35.2185    25.6320    17.1793    1516.63    176.946
    179.000    17.2027   4.546067    2.86439 8.4870e-02  0.1146816  0.1147455    35.2445    25.6535    17.1729    1516.65    177.940
    180.000    17.1923   4.546140    2.87259 8.3563e-02  0.1167532  0.1171590    35.2538    25.6632    17.1623    1516.65    178.933
    181.000    17.2039   4.548956    2.88678 7.9231e-02  0.1171992  0.1124753    35.2678    25.6711    17.1737    1516.72    179.927
    182.000    17.2072   4.550416    2.88897 8.1073e-02  0.1122239  0.1067620    35.2773    25.6776    17.1769    1516.76    180.920
    183.000    17.1471   4.544244    2.90540 7.9413e-02  0.1204020  0.1106830    35.2757    25.6908    17.1167    1516.59    181.914
    184.000    17.0054   4.528629    2.92039 7.6244e-02  0.1050033  0.1094032    35.2632    25.7150    16.9750    1516.17    182.908
    185.000    16.9632   4.523898    2.93641 7.5890e-02  0.1129114  0.1088558    35.2585    25.7214    16.9327    1516.05    183.901
    186.000    16.9401   4.521129    2.93823 7.5253e-02  0.1081572  0.1107870    35.2541    25.7236    16.9095    1516.00    184.895
    187.000    16.9213   4.519070    2.94210 7.4049e-02  0.1148092  0.1135679    35.2522    25.7266    16.8905    1515.95    185.888
    188.000    16.9181   4.518846    2.93916 7.4693e-02  0.1047580  0.1119120    35.2527    25.7278    16.8871    1515.96    186.882
    189.000    16.8412   4.510509    2.94222 7.4341e-02  0.1161908  0.1093167    35.2468    25.7414    16.8101    1515.74    187.876
    190.000    16.6123   4.484717    2.97940 7.2556e-02  0.1156323  0.1092145    35.2210    25.7756    16.5814    1515.03    188.869
    191.000    16.5304   4.474988    2.98544 7.2704e-02  0.1076838  0.1062580    35.2070    25.7840    16.4995    1514.79    189.863
    192.000    16.4729   4.468348    2.99694 7.1974e-02  0.1166522  0.1154808    35.1987    25.7911    16.4419    1514.62    190.856
    193.000    16.4500   4.465566    3.01033 7.0311e-02  0.1078578  0.1118686    35.1939    25.7928    16.4188    1514.56    191.850
    194.000    16.4189   4.462064    3.00829 7.1500e-02  0.1113287  0.1115638    35.1900    25.7970    16.3876    1514.48    192.844
    195.000    16.3984   4.459858    2.99194 6.9476e-02  0.1118936  0.1101742    35.1882    25.8004    16.3669    1514.43    193.837
    196.000    16.3793   4.457968    2.99208 7.1112e-02  0.1144517  0.1201679    35.1879    25.8046    16.3478    1514.39    194.831
    197.000    16.3728   4.457426    2.99301 6.9585e-02  0.1124304  0.1130686    35.1885    25.8066    16.3411    1514.38    195.824
    198.000    16.3710   4.457633    2.97734 7.0850e-02  0.1091701  0.1116706    35.1915    25.8093    16.3392    1514.40    196.818
    199.000    16.3246   4.452443    2.98913 7.1554e-02  0.1109813  0.1079973    35.1862    25.8160    16.2926    1514.27    197.811
    200.000    16.1969   4.438025    2.99792 7.1400e-02  0.1142405  0.1105587    35.1707    25.8337    16.1649    1513.87    198.805
    201.000    16.0858   4.425131    2.99716 7.0087e-02  0.1081130  0.1094895    35.1539    25.8464    16.0538    1513.53    199.798
    202.000    15.9173   4.406394    2.99022 7.0458e-02  0.1143399  0.1094324    35.1357    25.8709    15.8854    1513.01    200.792
    203.000    15.7698   4.390046    2.98253 6.6384e-02  0.1168367  0.1122906    35.1200    25.8925    15.7379    1512.55    201.786
    204.000    15.6144   4.373184    2.99118 6.8565e-02  0.1169101  0.1137954    35.1064    25.9171    15.5826    1512.07    202.779
    205.000    15.5636   4.367660    3.00014 6.9813e-02  0.1102771  0.1050381    35.1016    25.9249    15.5317    1511.92    203.773
    206.000    15.5129   4.362050    2.98748 6.9730e-02  0.1193485  0.1013170    35.0958    25.9318    15.4810    1511.77    204.766
    207.000    15.4308   4.353357    2.98092 6.8137e-02  0.1147599  0.1047042    35.0902    25.9459    15.3988    1511.52    205.760
    208.000    15.3985   4.349465    2.96724 6.8570e-02  0.1144903  0.1144214    35.0835    25.9480    15.3664    1511.43    206.753
    209.000    15.3749   4.346855    2.95619 6.7013e-02  0.1153980  0.1165783    35.0806    25.9510    15.3427    1511.37    207.747
    210.000    15.3408   4.343100    2.95677 6.7328e-02  0.1107939  0.1127574    35.0767    25.9557    15.3085    1511.28    208.740
    211.000    15.2867   4.337136    2.95005 6.7817e-02  0.1139360  0.1108928    35.0706    25.9630    15.2543    1511.12    209.734
    212.000    15.2315   4.330893    2.95256 6.6410e-02  0.1198256  0.1106473    35.0630    25.9694    15.1991    1510.95    210.727
    213.000    15.2043   4.327601    2.95129 6.7627e-02  0.1129470  0.1048186    35.0572    25.9709    15.1717    1510.87    211.721
    214.000    15.1832   4.325165    2.94980 6.6380e-02  0.1139761  0.1040785    35.0535    25.9728    15.1504    1510.82    212.714
    215.000    15.1536   4.321826    2.93802 6.7385e-02  0.1175535  0.1069260    35.0492    25.9761    15.1208    1510.74    213.708
    216.000    15.1202   4.318047    2.92908 6.8530e-02  0.1190633  0.1001344    35.0445    25.9798    15.0873    1510.64    214.701
    217.000    15.0745   4.312998    2.92706 6.8675e-02  0.1067012  0.1002745    35.0390    25.9856    15.0415    1510.51    215.695
    218.000    15.0349   4.308608    2.92986 6.7088e-02  0.1148261  0.1120813    35.0342    25.9907    15.0018    1510.39    216.688
    219.000    14.9853   4.303120    2.91754 6.8281e-02  0.1197531  0.1180338    35.0282    25.9970    14.9521    1510.25    217.681
    220.000    14.8926   4.292815    2.91327 6.7649e-02  0.1165286  0.1153814    35.0170    26.0086    14.8594    1509.96    218.675
    221.000    14.7966   4.282005    2.89906 6.6668e-02  0.1076503  0.1137761    35.0040    26.0196    14.7634    1509.65    219.668
    222.000    14.6482   4.265247    2.89413 6.5768e-02  0.1236345  0.1128612    34.9834    26.0359    14.6152    1509.17    220.662
