       PrDM      T090C      C0S/m Sbeox0ML/L       FlSP     Upoly0     Upoly1      Sal00  Sigma-t00 Potemp090C       SvDM
      3.000    24.0374   5.164384    4.27914 5.8119e-01  1.6025916  1.9580336    34.6786    23.3870    24.0368    1531.72
      4.000    23.9564   5.156431    4.26355 6.2990e-01  1.6055927  1.9514862    34.6812    23.4129    23.9556    1531.54
      5.000    23.9479   5.155706    4.26672 6.8735e-01  1.6055859  1.9510351    34.6821    23.4161    23.9469    1531.53
      6.000    23.9320   5.154063    4.26006 7.1359e-01  1.6053079  1.9522333    34.6817    23.4205    23.9307    1531.51
      7.000    23.9083   5.151766    4.25944 6.9071e-01  1.6061066  1.9502649    34.6825    23.4281    23.9068    1531.47
      8.000    23.9272   5.153823    4.27077 7.6719e-01  1.6075064  1.9490547    34.6830    23.4229    23.9255    1531.53
      9.000    23.9830   5.159596    4.27018 6.6064e-01  1.6065494  1.9503711    34.6828    23.4063    23.9811    1531.69
     10.000    23.9429   5.155259    4.26192 6.8957e-01  1.6076111  1.9480118    34.6810    23.4167    23.9408    1531.60
     11.000    23.9239   5.153422    4.26295 6.9139e-01  1.6072666  1.9491925    34.6816    23.4228    23.9216    1531.57
     12.000    23.8340   5.144325    4.24207 7.0837e-01  1.6075674  1.9483857    34.6825    23.4500    23.8315    1531.37
     13.000    23.8168   5.142568    4.22430 8.1196e-01  1.6125967  1.9432381    34.6822    23.4549    23.8141    1531.34
     14.000    23.7682   5.137408    4.22127 7.6480e-01  1.6161325  1.9379333    34.6808    23.4680    23.7653    1531.23
     15.000    23.6939   5.129579    4.22189 7.8035e-01  1.6178103  1.9341393    34.6791    23.4886    23.6908    1531.06
     16.000    23.5507   5.114848    4.18983 9.9192e-01  1.6231049  1.9268023    34.6787    23.5302    23.5474    1530.72
     17.000    23.3551   5.094517    4.15417 1.2776e+00  1.6309993  1.9155160    34.6767    23.5857    23.3516    1530.25
     18.000    23.1746   5.075858    4.12988 9.4317e-01  1.6401945  1.8997501    34.6754    23.6371    23.1709    1529.81
     19.000    22.9299   5.050758    4.08183 9.3194e-01  1.6488434  1.8808526    34.6751    23.7073    22.9260    1529.20
     20.000    22.6985   5.027311    4.04230 9.0771e-01  1.6588477  1.8658940    34.6766    23.7747    22.6945    1528.63
     21.000    22.5349   5.011187    4.03175 9.3602e-01  1.6676157  1.8547982    34.6811    23.8247    22.5307    1528.23
     22.000    22.3751   4.995180    4.01656 9.8658e-01  1.6769946  1.8417773    34.6833    23.8717    22.3707    1527.84
     23.000    22.2074   4.979013    4.00213 1.0876e+00  1.6863157  1.8243089    34.6906    23.9245    22.2028    1527.43
     24.000    22.0293   4.961071    3.94771 1.1182e+00  1.6925020  1.8176702    34.6920    23.9756    22.0246    1526.98
     25.000    21.7583   4.933828    3.85593 1.1485e+00  1.7034761  1.8030740    34.6947    24.0532    21.7535    1526.29
     26.000    21.5838   4.917283    3.83135 1.2435e+00  1.7180320  1.7834617    34.7041    24.1087    21.5787    1525.86
     27.000    21.3575   4.896036    3.78386 1.2899e+00  1.7271683  1.7721483    34.7178    24.1815    21.3523    1525.29
     28.000    21.2522   4.886350    3.78744 1.2954e+00  1.7362612  1.7626054    34.7256    24.2163    21.2468    1525.03
     29.000    21.1823   4.880022    3.79844 1.3575e+00  1.7403445  1.7578373    34.7314    24.2398    21.1768    1524.87
     30.000    21.1137   4.874024    3.78348 1.3359e+00  1.7457976  1.7527498    34.7389    24.2642    21.1079    1524.71
     31.000    21.0666   4.870552    3.74970 1.4554e+00  1.7508766  1.7386005    34.7491    24.2848    21.0607    1524.61
     32.000    21.0530   4.870018    3.77737 1.4832e+00  1.7531940  1.7320850    34.7555    24.2933    21.0469    1524.60
     33.000    21.0377   4.869430    3.73882 1.4807e+00  1.7543276  1.7336437    34.7629    24.3032    21.0314    1524.58
     34.000    21.0069   4.867444    3.72536 1.5044e+00  1.7570240  1.7334321    34.7717    24.3182    21.0005    1524.52
     35.000    20.9797   4.865491    3.71662 1.5832e+00  1.7613696  1.7305558    34.7779    24.3304    20.9730    1524.47
     36.000    20.9500   4.863169    3.68777 1.5219e+00  1.7650485  1.7266793    34.7831    24.3424    20.9431    1524.41
     37.000    20.9027   4.859305    3.67253 1.5339e+00  1.7680285  1.7243852    34.7903    24.3607    20.8957    1524.31
     38.000    20.8589   4.855917    3.68820 1.6100e+00  1.7727016  1.7188447    34.7985    24.3788    20.8517    1524.22
     39.000    20.8265   4.853843    3.63807 1.5474e+00  1.7765193  1.7153210    34.8080    24.3948    20.8191    1524.16
     40.000    20.7991   4.852151    3.64438 1.6673e+00  1.7812189  1.7113764    34.8165    24.4086    20.7915    1524.11
     41.000    20.7794   4.851346    3.64912 1.6136e+00  1.7838496  1.7090829    34.8258    24.4210    20.7716    1524.08
     42.000    20.7633   4.850745    3.62735 1.7063e+00  1.7868179  1.7086644    34.8337    24.4314    20.7554    1524.07
     43.000    20.7417   4.850322    3.59849 1.8193e+00  1.7881589  1.7086781    34.8476    24.4478    20.7336    1524.04
     44.000    20.7136   4.849250    3.56357 1.7883e+00  1.7937145  1.7058639    34.8618    24.4662    20.7052    1523.99
     45.000    20.6825   4.847211    3.55929 1.8016e+00  1.8008384  1.6990984    34.8704    24.4811    20.6740    1523.94
     46.000    20.6426   4.844499    3.56078 1.7985e+00  1.8034945  1.6979133    34.8809    24.4999    20.6339    1523.86
     47.000    20.5845   4.838949    3.53278 1.9475e+00  1.8070366  1.6958952    34.8835    24.5175    20.5756    1523.72
     48.000    20.4715   4.828022    3.52592 1.8889e+00  1.8110979  1.6894944    34.8877    24.5509    20.4625    1523.43
     49.000    20.4286   4.826356    3.49650 2.0751e+00  1.8182023  1.6835851    34.9091    24.5787    20.4195    1523.36
     50.000    20.3989   4.825099    3.47148 2.0063e+00  1.8267029  1.6760247    34.9231    24.5973    20.3895    1523.31
