Tow #,lat,lon,pres,temp (use),sal,sigma,fluor,att.coeff.,oxygen_diss,O2_satur,pH,Om-Arag,O2
1,32.53488,-118.18585,1069,3.993,34.495,27.394,0.01,0.0064,0.4817,6.625223527,7.509668169,0.529715365,20.93911586
1,32.53487,-118.18586,1068.6,3.994,34.496,27.394,0.01,0.0064,0.4847,6.666691516,7.509853889,0.529718986,21.06952347
1,32.53487,-118.18587,1068.4,3.995,34.495,27.393,0.01,0.0064,0.4891,6.72732772,7.510122019,0.529712141,21.26080867
1,32.53487,-118.18588,1068.6,3.996,34.494,27.393,0.01,0.0064,0.4935,6.787966036,7.510390138,0.529705526,21.45207335
1,32.53487,-118.18589,1069,3.994,34.495,27.394,0.01,0.0064,0.4965,6.828945684,7.510548135,0.529629208,21.58246009
1,32.53488,-118.18589,1069.2,3.993,34.496,27.394,0.01,0.0076,0.4965,6.828826463,7.510538891,0.529602383,21.58246009
1,32.53488,-118.1859,1069.2,3.993,34.495,27.394,0.01,0.0076,0.4936,6.788894193,7.510368276,0.529624521,21.45639939
1,32.53487,-118.18591,1069.1,3.993,34.495,27.394,0.01,0.0064,0.4876,6.706371168,7.510015281,0.529670325,21.19558417
1,32.53486,-118.18591,1068.8,3.993,34.495,27.394,0.01,0.0064,0.4876,6.706371168,7.510015281,0.529670325,21.19558417
1,32.53486,-118.18592,1068.5,3.993,34.495,27.394,0.01,0.0064,0.4876,6.706371168,7.510015281,0.529670325,21.19558417
1,32.53485,-118.18592,1068.3,3.993,34.495,27.394,0.01,0.0064,0.4935,6.78751881,7.510362393,0.529625285,21.45205247
1,32.53484,-118.18593,1068.3,3.995,34.495,27.394,0.01,0.0064,0.495,6.808479291,7.510469125,0.529667408,21.51725628
1,32.53485,-118.18594,1068.5,3.995,34.495,27.393,0.01,0.0064,0.4994,6.868999107,7.510728033,0.529634041,21.70854191
1,32.53485,-118.18595,1068.6,3.993,34.496,27.394,0.01,0.0064,0.4994,6.868712862,7.510709505,0.529580245,21.70852078
1,32.53485,-118.18595,1068.8,3.993,34.495,27.394,0.01,0.0076,0.498,6.849411078,7.51062714,0.529590932,21.6476639
1,32.53485,-118.18596,1068.7,3.993,34.495,27.394,0.01,0.0076,0.4891,6.727001925,7.51010353,0.529658874,21.26078797
1,32.53485,-118.18597,1068.6,3.993,34.495,27.394,0.01,0.0064,0.4876,6.706371168,7.510015281,0.529670325,21.19558417
1,32.53485,-118.18597,1068.3,3.994,34.495,27.394,0.01,0.0064,0.4876,6.706533566,7.510024509,0.529696922,21.19558417
1,32.53484,-118.18598,1068,3.995,34.495,27.393,0.01,0.0064,0.4876,6.706695964,7.510033765,0.529723515,21.1956048
1,32.53483,-118.18598,1067.6,3.996,34.495,27.393,0.01,0.0076,0.4875,6.70548288,7.510037109,0.529750867,21.19125787
1,32.53482,-118.18599,1067.4,3.997,34.495,27.393,0.01,0.0064,0.4934,6.786800748,7.510393493,0.529733027,21.44772643
1,32.53482,-118.186,1067.5,3.997,34.494,27.393,0.01,0.0064,0.4993,6.867909846,7.510740649,0.529688593,21.70419499
1,32.53483,-118.18601,1067.8,3.997,34.495,27.393,0.01,0.0064,0.4993,6.86795625,7.510740649,0.529688593,21.70419499
1,32.53483,-118.18602,1068.2,3.996,34.495,27.394,0.01,0.0064,0.4993,6.867789953,7.510731371,0.5296617,21.70417386
1,32.53483,-118.18602,1068.3,3.995,34.495,27.393,0.01,0.0064,0.4935,6.787847535,7.510380899,0.529678778,21.45207335
1,32.53483,-118.18603,1068.2,3.994,34.495,27.394,0.01,0.0076,0.4876,6.706533566,7.510024509,0.529696922,21.19558417
1,32.53483,-118.18604,1068.1,3.994,34.496,27.394,0.01,0.0064,0.4817,6.625428726,7.509677386,0.52974181,20.93911586
1,32.53482,-118.18604,1067.9,3.994,34.496,27.394,0.01,0.0064,0.4817,6.625428726,7.509677386,0.52974181,20.93911586
1,32.53481,-118.18605,1067.6,3.996,34.495,27.394,0.01,0.0060,0.4875,6.70548288,7.510037081,0.529750871,21.19123725
1,32.5348,-118.18605,1067.4,3.997,34.495,27.393,0.01,0.0064,0.4875,6.705645247,7.510046337,0.529777461,21.19125787
1,32.5348,-118.18606,1067.2,3.997,34.495,27.393,0.01,0.0076,0.4934,6.786800748,7.510393493,0.529733027,21.44772643
1,32.5348,-118.18607,1067.4,3.997,34.495,27.393,0.01,0.0064,0.4993,6.86795625,7.510740649,0.529688593,21.70419499
1,32.53481,-118.18608,1067.7,3.996,34.495,27.393,0.01,0.0064,0.4993,6.867789953,7.510731399,0.529661696,21.70419499
1,32.53481,-118.18608,1067.8,3.996,34.495,27.393,0.01,0.0064,0.4934,6.786636416,7.510384254,0.529706282,21.44772643
1,32.53481,-118.18609,1067.6,3.995,34.495,27.393,0.01,0.0064,0.4875,6.705320514,7.510027881,0.529724273,21.19125787
1,32.53481,-118.1861,1067.1,3.996,34.495,27.394,0.01,0.0064,0.4875,6.70548288,7.510037081,0.529750871,21.19123725
1,32.5348,-118.1861,1066.7,3.997,34.495,27.393,0.01,0.0052,0.4875,6.705645247,7.510046337,0.529777461,21.19125787
1,32.53479,-118.18611,1066.7,3.997,34.495,27.393,0.01,0.0064,0.4904,6.745535239,7.510216973,0.529755621,21.31731869
