       PrDM      T090C      C0S/m    Sbeox0V       FlSP     Upoly0     Upoly1     Upoly2      Sal00  Sigma-t00 Potemp090C       SvDM Sbeox0ML/L
      4.000    27.5120   5.569437     2.6130 6.7578e-02  1.6182736  17.565140  0.0819468    34.9869    22.5434    27.5110    1540.21     4.3430
      5.000    27.5117   5.569485     2.6068 7.1767e-02  1.6183441  17.568532  0.0833524    34.9871    22.5437    27.5105    1540.22     4.3400
      6.000    27.5121   5.569581     2.6023 6.9118e-02  1.6180477  17.570704  0.0844132    34.9872    22.5436    27.5107    1540.24     4.3308
      7.000    27.5129   5.569707     2.6067 6.7393e-02  1.6185310  17.574181  0.0837633    34.9872    22.5434    27.5112    1540.26     4.3391
      8.000    27.5136   5.569822     2.6076 7.1439e-02  1.6182353  17.572436  0.0816727    34.9872    22.5431    27.5117    1540.28     4.3425
      9.000    27.5151   5.570037     2.6070 6.9805e-02  1.6180147  17.573027  0.0845330    34.9872    22.5427    27.5130    1540.30     4.3424
     10.000    27.5172   5.570309     2.6072 6.5978e-02  1.6184462  17.575590  0.0848718    34.9873    22.5420    27.5149    1540.32     4.3463
     11.000    27.5187   5.570486     2.6081 6.5603e-02  1.6182684  17.575916  0.0845784    34.9871    22.5414    27.5162    1540.33     4.3498
     12.000    27.5178   5.570436     2.6105 6.9845e-02  1.6183787  17.576758  0.0841825    34.9872    22.5418    27.5150    1540.35     4.3516
     13.000    27.5168   5.570357     2.6108 6.9522e-02  1.6185191  17.576685  0.0876012    34.9871    22.5420    27.5137    1540.36     4.3490
     14.000    27.5178   5.570521     2.6067 6.6730e-02  1.6183798  17.574110  0.0833603    34.9872    22.5417    27.5145    1540.38     4.3391
     15.000    27.5181   5.570601     2.6062 6.9074e-02  1.6182357  17.575883  0.0822493    34.9872    22.5417    27.5146    1540.40     4.3429
     16.000    27.5176   5.570588     2.6076 6.9815e-02  1.6186081  17.575654  0.0826127    34.9872    22.5419    27.5138    1540.41     4.3521
     17.000    27.5176   5.570636     2.6095 6.6633e-02  1.6184868  17.576543  0.0859260    34.9873    22.5419    27.5136    1540.43     4.3448
     18.000    27.5174   5.570669     2.6079 7.3538e-02  1.6187574  17.576460  0.0848692    34.9873    22.5420    27.5132    1540.44     4.3483
     19.000    27.5172   5.570689     2.6039 6.6323e-02  1.6186245  17.578005  0.0821195    34.9873    22.5420    27.5128    1540.46     4.3412
     20.000    27.5172   5.570738     2.6124 6.6779e-02  1.6186718  17.575715  0.0855249    34.9874    22.5421    27.5125    1540.48     4.3662
     21.000    27.5178   5.570847     2.6140 6.8854e-02  1.6187411  17.576688  0.0837657    34.9874    22.5419    27.5129    1540.49     4.3561
     22.000    27.5179   5.570900     2.6120 7.0481e-02  1.6185257  17.577217  0.0805554    34.9874    22.5419    27.5128    1540.51     4.3584
     23.000    27.5191   5.571082     2.6126 6.7358e-02  1.6187364  17.577854  0.0815754    34.9874    22.5415    27.5138    1540.53     4.3549
     24.000    27.5186   5.571073     2.6104 6.6370e-02  1.6186102  17.577196  0.0842074    34.9874    22.5417    27.5131    1540.54     4.3530
     25.000    27.5175   5.570990     2.6111 7.1289e-02  1.6186818  17.577196  0.0863046    34.9874    22.5420    27.5117    1540.56     4.3587
     26.000    27.5179   5.571093     2.6113 6.7373e-02  1.6186983  17.578423  0.0836955    34.9876    22.5420    27.5118    1540.57     4.3576
     27.000    27.5224   5.571594     2.6132 6.5411e-02  1.6184750  17.579685  0.0837451    34.9874    22.5405    27.5161    1540.60     4.3660
     28.000    27.5241   5.571821     2.6151 6.9190e-02  1.6187070  17.581319  0.0799099    34.9875    22.5399    27.5176    1540.62     4.3668
