CTD,20120906FEGNRIFS
#ORIGINAL_FILE=\CTD\Report\c3100a.asc
#CTD_SAL ax+b   :a=0.981152
#CTD_SAL ax+b   :b=0.659199
# sensor 0 = Frequency  0  temperature, 1549, 06-Oct-09
# sensor 1 = Frequency  1  conductivity, 1245, 15-Oct-09, cpcor = -9.5700e-08
# sensor 2 = Frequency  2  pressure, 53581, 15-jul-1998
# System UpLoad Time = May 10 2010 06:46:35
# NMEA Latitude = 30 59.82 N
# NMEA Longitude = 138 00.00 E
NUMBER_HEADERS=10
EXPOCODE=49SO201005
SECT=138E
STNNBR=  3100CR
CASTNO=1
DATE=20100509
TIME=2140
LATITUDE=30.997
LONGITUDE=138.000
DEPTH=     0
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,
105,2,18.7509,2,34.69193148,2,193.5432074,1
106,2,18.7514,2,34.69212771,2,193.2933552,1
107,2,18.7521,2,34.69242206,2,193.460939,1
108,2,18.7513,2,34.69232394,2,193.5715008,1
109,2,18.7496,2,34.6920296,2,193.4017405,1
110,2,18.7493,2,34.69252017,2,193.2258864,1
111,2,18.7468,2,34.69261829,2,193.0752786,1
112,2,18.7428,2,34.69252017,2,192.957317,1
113,2,18.7422,2,34.6927164,2,193.0339267,1
114,2,18.7421,2,34.6927164,2,193.0339267,1
115,2,18.7397,2,34.69252017,2,192.8558961,1
116,2,18.736,2,34.69242206,2,192.4641417,1
117,2,18.7331,2,34.69242206,2,192.4092961,1
118,2,18.7306,2,34.69232394,2,192.2578177,1
119,2,18.7295,2,34.69252017,2,192.1246212,1
120,2,18.7295,2,34.69261829,2,192.1302799,1
121,2,18.7288,2,34.6927164,2,192.267394,1
122,2,18.7287,2,34.6927164,2,192.2116778,1
123,2,18.7278,2,34.69242206,2,192.0706462,1
124,2,18.7263,2,34.69222583,2,192.0998101,1
125,2,18.7228,2,34.69173525,2,192.244324,1
126,2,18.7221,2,34.69173525,2,192.3810027,1
127,2,18.7219,2,34.69173525,2,192.5603392,1
128,2,18.7195,2,34.69153902,2,192.3927554,1
129,2,18.7184,2,34.69153902,2,192.4092961,1
130,2,18.7179,2,34.69173525,2,192.6926651,1
131,2,18.7142,2,34.69261829,2,192.6665481,1
132,2,18.7143,2,34.69261829,2,192.7614398,1
133,2,18.7145,2,34.69261829,2,193.1288183,1
134,2,18.7142,2,34.69281452,2,193.1231596,1
135,2,18.714,2,34.69291263,2,193.2015105,1
136,2,18.7135,2,34.69291263,2,193.1753936,1
137,2,18.7129,2,34.69310886,2,193.0905135,1
138,2,18.7125,2,34.69310886,2,192.9277177,1
139,2,18.7118,2,34.69310886,2,192.8589431,1
140,2,18.7117,2,34.69330509,2,192.7888626,1
141,2,18.7109,2,34.69350132,2,192.6208435,1
142,2,18.7101,2,34.69369755,2,192.5934207,1
143,2,18.7099,2,34.69379567,2,192.5890678,1
144,2,18.7102,2,34.69369755,2,192.5825386,1
145,2,18.7093,2,34.69409002,2,192.4402012,1
146,2,18.7094,2,34.69418813,2,192.2691351,1
147,2,18.7096,2,34.69428625,2,192.2334419,1
148,2,18.7094,2,34.69438436,2,192.0471409,1
149,2,18.7095,2,34.69458059,2,192.2882875,1
150,2,18.7094,2,34.69477682,2,192.2774055,1
151,2,18.709,2,34.6952674,2,191.9535552,1
152,2,18.7082,2,34.6952674,2,191.7898889,1
153,2,18.7075,2,34.69536551,2,191.7589838,1
154,2,18.7077,2,34.6952674,2,191.6671392,1
155,2,18.7034,2,34.69634667,2,191.5182725,1
156,2,18.7017,2,34.69644478,2,191.5008612,1
157,2,18.7016,2,34.69664101,2,191.485191,1
158,2,18.7014,2,34.69693536,2,191.3389361,1
159,2,18.7013,2,34.69703347,2,191.3167366,1
160,2,18.7013,2,34.69732782,2,191.4390511,1
