       PrDM      T090C      C0S/m Sbeox0ML/L       FlSP     Upoly0     Upoly1      Sal00  Sigma-t00 Potemp090C       SvDM
      3.000    27.3932   5.575908    4.33435 7.2007e-02  1.5499903  2.2160147    35.1221    22.6835    27.3925    1540.07
      4.000    27.4039   5.577143    4.34815 7.8306e-02  1.5494029  2.2161308    35.1225    22.6804    27.4030    1540.11
      5.000    27.3998   5.576800    4.34421 7.7830e-02  1.5500472  2.2161172    35.1229    22.6820    27.3986    1540.12
      6.000    27.3975   5.576604    4.34691 7.8459e-02  1.5497885  2.2161416    35.1229    22.6827    27.3961    1540.13
      7.000    27.3972   5.576591    4.34992 8.2410e-02  1.5496786  2.2161193    35.1228    22.6827    27.3955    1540.14
      8.000    27.4008   5.577029    4.34386 7.4550e-02  1.5495347  2.2161987    35.1228    22.6816    27.3989    1540.17
      9.000    27.4002   5.577031    4.34078 7.5707e-02  1.5498918  2.2161132    35.1230    22.6819    27.3982    1540.18
     10.000    27.3989   5.576939    4.35211 7.5978e-02  1.5495240  2.2161172    35.1230    22.6824    27.3966    1540.20
     11.000    27.3883   5.575811    4.35013 8.0874e-02  1.5499769  2.2160582    35.1227    22.6855    27.3857    1540.19
     12.000    27.3877   5.575771    4.34386 8.0516e-02  1.5499383  2.2159563    35.1226    22.6857    27.3849    1540.20
     13.000    27.3822   5.575220    4.33471 7.8977e-02  1.5501308  2.2149029    35.1225    22.6874    27.3792    1540.21
     14.000    27.3780   5.574794    4.35424 8.3871e-02  1.5501651  2.2151631    35.1223    22.6886    27.3748    1540.21
     15.000    27.3817   5.575250    4.35395 8.2555e-02  1.5498622  2.2157504    35.1225    22.6875    27.3782    1540.24
     16.000    27.3806   5.575193    4.33924 8.6672e-02  1.5502970  2.2145951    35.1226    22.6879    27.3769    1540.25
     17.000    27.3735   5.574452    4.34506 8.4587e-02  1.5501752  2.2142324    35.1224    22.6901    27.3696    1540.25
     18.000    27.3726   5.574356    4.34502 8.5454e-02  1.5502864  2.2141395    35.1221    22.6902    27.3684    1540.27
     19.000    27.3712   5.574258    4.35447 8.6663e-02  1.5504055  2.2138252    35.1221    22.6906    27.3668    1540.28
     20.000    27.3736   5.574562    4.35211 9.0869e-02  1.5505246  2.2138408    35.1221    22.6899    27.3690    1540.30
     21.000    27.3734   5.574587    4.34900 8.6595e-02  1.5504307  2.2140747    35.1222    22.6899    27.3686    1540.32
