       PrDM      T090C      C0S/m Sbeox0ML/L       FlSP     Upoly0     Upoly1      Sal00  Sigma-t00 Potemp090C       SvDM
      5.000    26.3960   5.493286    4.43643 1.0134e-01  1.5542630  2.1386275    35.2866    23.1254    26.3949    1538.02
      6.000    26.3959   5.493338    4.44251 1.0828e-01  1.5534827  2.1391381    35.2867    23.1255    26.3946    1538.04
      7.000    26.3966   5.493443    4.42983 1.1932e-01  1.5537477  2.1385921    35.2867    23.1253    26.3950    1538.06
      8.000    26.3915   5.493088    4.44367 1.0502e-01  1.5542389  2.1376898    35.2877    23.1277    26.3896    1538.06
      9.000    26.3528   5.490178    4.43813 1.0783e-01  1.5544596  2.1362215    35.2960    23.1461    26.3508    1538.00
     10.000    26.3262   5.488165    4.43260 1.1719e-01  1.5548195  2.1342869    35.3015    23.1586    26.3239    1537.96
     11.000    26.3370   5.489057    4.44296 1.2073e-01  1.5551584  2.1347967    35.2994    23.1536    26.3345    1538.00
     12.000    26.3414   5.489455    4.44500 1.0685e-01  1.5554203  2.1349760    35.2986    23.1516    26.3387    1538.02
     13.000    26.3422   5.489566    4.43016 1.0660e-01  1.5552007  2.1353899    35.2984    23.1512    26.3393    1538.04
     14.000    26.3452   5.489845    4.44394 1.0843e-01  1.5557351  2.1347570    35.2979    23.1499    26.3421    1538.06
     15.000    26.3429   5.489694    4.44810 1.1220e-01  1.5552634  2.1354112    35.2982    23.1509    26.3395    1538.07
     16.000    26.3280   5.488473    4.43933 1.0312e-01  1.5556287  2.1336957    35.3005    23.1573    26.3244    1538.06
     17.000    26.2858   5.485038    4.44053 1.0564e-01  1.5561702  2.1327774    35.3077    23.1760    26.2819    1537.98
     18.000    26.2478   5.481719    4.45284 1.0164e-01  1.5571413  2.1299770    35.3125    23.1915    26.2438    1537.92
     19.000    26.2426   5.481226    4.43936 1.0425e-01  1.5569739  2.1293643    35.3126    23.1932    26.2384    1537.92
     20.000    26.2425   5.481302    4.43666 1.0547e-01  1.5572150  2.1284496    35.3130    23.1935    26.2380    1537.94
     21.000    26.2449   5.481961    4.42809 1.0844e-01  1.5574123  2.1282070    35.3156    23.1948    26.2402    1537.96
     22.000    26.2458   5.482344    4.44356 1.0595e-01  1.5571524  2.1283619    35.3174    23.1958    26.2408    1537.98
     23.000    26.2507   5.482719    4.44858 1.1236e-01  1.5572650  2.1283234    35.3160    23.1933    26.2455    1538.01
     24.000    26.2406   5.481940    4.44149 1.1093e-01  1.5571622  2.1282019    35.3178    23.1978    26.2352    1538.00
     25.000    26.2367   5.481556    4.44542 1.0776e-01  1.5575980  2.1280395    35.3177    23.1990    26.2311    1538.01
     26.000    26.2365   5.481683    4.44831 1.1237e-01  1.5574147  2.1276309    35.3185    23.1996    26.2306    1538.03
     27.000    26.2369   5.481804    4.44873 1.1791e-01  1.5577611  2.1275090    35.3187    23.1997    26.2308    1538.05
     28.000    26.2380   5.482060    4.43932 1.0775e-01  1.5567759  2.1273910    35.3194    23.1998    26.2317    1538.06
     29.000    26.2387   5.482588    4.44494 1.1010e-01  1.5572715  2.1274736    35.3224    23.2019    26.2322    1538.08
     30.000    26.2385   5.482727    4.45216 1.0841e-01  1.5574545  2.1274625    35.3232    23.2026    26.2318    1538.10
     31.000    26.2399   5.482633    4.43873 1.0728e-01  1.5572794  2.1274024    35.3211    23.2005    26.2330    1538.12
     32.000    26.2385   5.483009    4.44129 1.1023e-01  1.5568802  2.1273020    35.3246    23.2036    26.2313    1538.14
     33.000    26.2381   5.483057    4.44166 1.2229e-01  1.5568871  2.1273157    35.3250    23.2040    26.2307    1538.15
     34.000    26.2332   5.482526    4.43469 1.2288e-01  1.5571122  2.1269936    35.3246    23.2052    26.2256    1538.15
     35.000    26.2337   5.483045    4.43281 1.2161e-01  1.5571862  2.1269834    35.3277    23.2074    26.2258    1538.17
     36.000    26.2337   5.483197    4.44523 1.1853e-01  1.5570214  2.1270652    35.3285    23.2080    26.2256    1538.19
     37.000    26.2299   5.482823    4.43601 1.2247e-01  1.5571477  2.1269834    35.3283    23.2091    26.2216    1538.20
     38.000    26.2273   5.482600    4.43425 1.1924e-01  1.5574982  2.1269841    35.3285    23.2100    26.2187    1538.21
     39.000    26.2257   5.482556    4.44760 1.2186e-01  1.5574153  2.1269841    35.3291    23.2110    26.2169    1538.22
     40.000    26.2252   5.482521    4.43432 1.2134e-01  1.5575573  2.1266006    35.3289    23.2110    26.2162    1538.24
     41.000    26.2189   5.481940    4.44678 1.1874e-01  1.5576347  2.1260419    35.3292    23.2132    26.2096    1538.24
     42.000    26.2087   5.481730    4.45991 1.2313e-01  1.5575011  2.1257924    35.3352    23.2209    26.1993    1538.24
     43.000    26.1962   5.481600    4.46501 1.2914e-01  1.5561996  2.1249508    35.3435    23.2311    26.1866    1538.23
     44.000    26.1962   5.481785    4.45242 1.2599e-01  1.5559661  2.1244985    35.3446    23.2320    26.1863    1538.25
     45.000    26.1939   5.482462    4.46337 1.2584e-01  1.5553844  2.1245421    35.3510    23.2375    26.1838    1538.27
     46.000    26.1940   5.483054    4.45562 1.2907e-01  1.5545645  2.1245421    35.3549    23.2404    26.1836    1538.29
     47.000    26.1934   5.483481    4.47036 1.2509e-01  1.5546614  2.1243766    35.3581    23.2430    26.1828    1538.31
     48.000    26.1939   5.483804    4.46601 1.2715e-01  1.5541462  2.1244436    35.3598    23.2441    26.1831    1538.33
     49.000    26.1942   5.484139    4.47807 1.3297e-01  1.5538476  2.1244499    35.3616    23.2454    26.1832    1538.35
     50.000    26.1928   5.484531    4.47094 1.2471e-01  1.5538832  2.1243602    35.3653    23.2486    26.1816    1538.36
     51.000    26.1884   5.484913    4.46918 1.2545e-01  1.5532270  2.1238891    35.3711    23.2544    26.1770    1538.38
     52.000    26.1865   5.485772    4.49035 1.2751e-01  1.5527553  2.1235648    35.3785    23.2606    26.1748    1538.40
     53.000    26.1576   5.483364    4.49752 1.3289e-01  1.5526388  2.1216432    35.3830    23.2730    26.1457    1538.35
     54.000    26.1299   5.481182    4.50860 1.3003e-01  1.5520059  2.1200492    35.3881    23.2855    26.1178    1538.31
     55.000    26.0857   5.476798    4.51274 1.2526e-01  1.5532980  2.1175984    35.3900    23.3008    26.0734    1538.22
     56.000    25.8759   5.453796    4.57503 1.3750e-01  1.5500887  2.1041541    35.3841    23.3618    25.8635    1537.75
     57.000    25.5970   5.421432    4.68579 1.4849e-01  1.5505885  2.0892538    35.3628    23.4321    25.5844    1537.09
     58.000    25.1133   5.365026    4.77849 1.6307e-01  1.5445878  2.0590665    35.3229    23.5507    25.1007    1535.92
     59.000    24.9183   5.342765    4.78792 1.5781e-01  1.5380205  2.0407143    35.3097    23.6002    24.9056    1535.45
     60.000    24.6202   5.308708    4.92491 1.5646e-01  1.5358793  2.0154360    35.2890    23.6746    24.6074    1534.73
