CTD,20150316FEGNRIFS
#ORIGINAL_FILE=\Report\C3345b.asc
#CTD_SAL ax+b   :a=1.0003361723921
#CTD_SAL ax+b   :b=-0.0131915369898792
# System UpLoad Time = Jan 27 2015 14:40:41
# NMEA Latitude = 33 44.95 N
# NMEA Longitude = 137 59.65 E
# Temperature SN = 1550
# Conductivity SN = 1244
# SBE43 Oxygen SN = 0357
# RINKO Oxygen SN = 0155
#1-5 dbar were removed because of error values.
NUMBER_HEADERS=10
EXPOCODE=49SO201501
SECT=138E
STNNBR=  C3345
CASTNO=2
DATE=20150127
TIME=0540
LATITUDE=33.74917
LONGITUDE=137.9942
DEPTH=     0
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,RINKOOXY,RINKOOXY_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,UMOL/KG,
72,2,14.2404,2,34.55972702,2,242.8629082,1,215.6614572,1
73,2,14.2239,2,34.55862665,2,242.9987164,1,215.6828686,1
74,2,14.2287,2,34.55852661,2,243.1819704,1,215.6357874,1
75,2,14.23,2,34.55922685,2,243.5867832,1,215.8826291,1
76,2,14.218,2,34.55772635,2,242.9342945,1,215.9122531,1
77,2,14.208,2,34.55632587,2,242.2548183,1,215.9834016,1
78,2,14.1915,2,34.55522551,2,242.5686571,1,215.9544522,1
79,2,14.1786,2,34.5531248,2,242.1512211,1,215.9640741,1
80,2,14.1717,2,34.5519244,2,242.5791039,1,215.8198024,1
81,2,14.1664,2,34.5519244,2,242.2091136,1,215.6694872,1
82,2,14.1652,2,34.55182436,2,241.9871195,1,215.4972629,1
83,2,14.1601,2,34.55132419,2,242.2008433,1,215.4946775,1
84,2,14.1455,2,34.55072399,2,242.8668257,1,215.5823646,1
85,2,14.1456,2,34.55042389,2,242.4058614,1,215.4564551,1
86,2,14.143,2,34.55022382,2,241.9044158,1,215.3688722,1
87,2,14.1415,2,34.55012379,2,241.7089739,1,215.3986684,1
88,2,14.1433,2,34.55012379,2,242.6104442,1,215.3942682,1
89,2,14.1426,2,34.55022382,2,242.6426552,1,215.3941354,1
90,2,14.1419,2,34.55032386,2,242.3135815,1,215.3984028,1
91,2,14.1425,2,34.55032386,2,242.214337,1,215.4192658,1
92,2,14.1424,2,34.55032386,2,242.440684,1,215.4489302,1
93,2,14.1464,2,34.55042389,2,241.8595817,1,215.4311935,1
94,2,14.1404,2,34.54982369,2,242.3140168,1,215.4583973,1
95,2,14.1407,2,34.54972366,2,241.2393039,1,215.3278069,1
96,2,14.1391,2,34.54942356,2,241.8273708,1,215.2106763,1
97,2,14.1356,2,34.54932352,2,242.5616926,1,215.1229319,1
98,2,14.1315,2,34.54902342,2,242.5077175,1,215.2167189,1
99,2,14.1336,2,34.54922349,2,241.5344255,1,215.2329272,1
100,2,14.1346,2,34.54922349,2,242.0350006,1,215.1527273,1
101,2,14.131,2,34.54902342,2,242.0728702,1,215.2211163,1
102,2,14.1318,2,34.54992372,2,243.4588101,1,215.3418695,1
103,2,14.1309,2,34.55062396,2,243.6607813,1,215.3958789,1
104,2,14.1309,2,34.55062396,2,243.3565187,1,215.6233029,1
105,2,14.1308,2,34.55072399,2,243.2651094,1,215.8000553,1
