       PrDM      T090C      C0S/m Sbeox0ML/L       FlSP     Upoly0     Upoly1      Sal00  Sigma-t00 Potemp090C       SvDM
      3.000    23.6226   5.145959    4.13404 4.1090e-01  1.6325372  1.9240718    34.8636    23.6493    23.6220    1530.89
      4.000    23.8662   5.167748    4.20407 3.3733e-01  1.6196884  1.9476905    34.8374    23.5578    23.8654    1531.49
      5.000    23.8843   5.169157    4.19332 3.5288e-01  1.6151738  1.9548972    34.8336    23.5495    23.8833    1531.54
      6.000    23.7995   5.161664    4.17341 3.6036e-01  1.6197867  1.9482232    34.8429    23.5816    23.7983    1531.36
      7.000    23.7254   5.155069    4.14884 3.9470e-01  1.6228227  1.9425119    34.8507    23.6093    23.7240    1531.20
      8.000    23.6597   5.149337    4.15763 4.0971e-01  1.6270707  1.9344623    34.8584    23.6344    23.6581    1531.06
      9.000    23.6014   5.144319    4.15086 4.3123e-01  1.6291136  1.9314194    34.8658    23.6571    23.5995    1530.94
     10.000    23.5551   5.140522    4.14306 4.7376e-01  1.6320458  1.9289786    34.8730    23.6761    23.5531    1530.85
     11.000    23.5731   5.142168    4.17092 4.7521e-01  1.6329179  1.9267346    34.8710    23.6694    23.5708    1530.91
     12.000    23.5026   5.136327    4.12981 4.9383e-01  1.6368248  1.9171280    34.8817    23.6981    23.5001    1530.76
     13.000    23.4122   5.128716    4.11683 5.5460e-01  1.6391784  1.9160940    34.8946    23.7343    23.4095    1530.56
     14.000    23.4487   5.131672    4.12888 5.1462e-01  1.6389729  1.9165434    34.8880    23.7186    23.4458    1530.66
     15.000    23.4408   5.131142    4.14439 5.5474e-01  1.6394119  1.9150132    34.8899    23.7224    23.4377    1530.66
     16.000    23.3749   5.125768    4.10657 5.8622e-01  1.6405924  1.9116080    34.9005    23.7496    23.3716    1530.52
     17.000    23.3693   5.125303    4.09592 6.0855e-01  1.6415170  1.9112312    34.9011    23.7517    23.3658    1530.53
     18.000    23.3398   5.122870    4.08310 6.1504e-01  1.6427849  1.9091672    34.9055    23.7636    23.3360    1530.47
     19.000    23.3053   5.119889    4.09889 6.5550e-01  1.6451681  1.9052961    34.9096    23.7766    23.3014    1530.41
     20.000    23.2842   5.118178    4.07674 7.0113e-01  1.6473343  1.9027216    34.9128    23.7853    23.2801    1530.37
     21.000    23.2620   5.116304    4.07326 7.0826e-01  1.6485801  1.9013492    34.9157    23.7939    23.2577    1530.34
     22.000    23.2586   5.116075    4.08934 7.1004e-01  1.6492947  1.9005864    34.9164    23.7954    23.2541    1530.35
     23.000    23.2291   5.113521    4.06294 6.9263e-01  1.6499118  1.8992855    34.9198    23.8065    23.2244    1530.29
     24.000    23.2127   5.112115    4.07465 7.2578e-01  1.6510665  1.8978107    34.9217    23.8127    23.2078    1530.27
     25.000    23.1880   5.109949    4.07367 7.4880e-01  1.6513446  1.8972794    34.9243    23.8219    23.1829    1530.23
     26.000    23.1755   5.108783    4.08224 7.7674e-01  1.6532615  1.8939661    34.9249    23.8259    23.1702    1530.21
     27.000    23.1391   5.105472    4.05741 8.1505e-01  1.6566862  1.8908619    34.9280    23.8388    23.1336    1530.14
     28.000    23.0748   5.099447    4.04188 8.3227e-01  1.6597871  1.8868228    34.9324    23.8607    23.0691    1530.00
     29.000    23.0116   5.093378    4.02112 8.7947e-01  1.6616705  1.8844728    34.9356    23.8814    23.0057    1529.86
     30.000    22.9658   5.088856    4.02276 9.0867e-01  1.6654997  1.8795644    34.9368    23.8955    22.9597    1529.76
     31.000    22.8963   5.082140    4.00256 9.3525e-01  1.6691878  1.8765474    34.9400    23.9179    22.8900    1529.60
     32.000    22.8595   5.078501    4.00975 9.5044e-01  1.6703067  1.8762792    34.9409    23.9292    22.8530    1529.53
     33.000    22.7804   5.070881    3.98916 9.6132e-01  1.6755687  1.8722179    34.9447    23.9547    22.7737    1529.34
     34.000    22.7286   5.065739    3.97234 1.0049e+00  1.6799118  1.8679965    34.9459    23.9705    22.7217    1529.23
     35.000    22.6100   5.054029    3.94035 1.0273e+00  1.6855070  1.8625142    34.9495    24.0070    22.6030    1528.95
     36.000    22.3996   5.033396    3.88418 1.0910e+00  1.6971816  1.8473528    34.9571    24.0727    22.3924    1528.43
     37.000    22.2540   5.019273    3.84017 1.1323e+00  1.7074086  1.8386023    34.9635    24.1186    22.2467    1528.08
     38.000    22.0824   5.002483    3.79836 1.1749e+00  1.7160861  1.8334409    34.9698    24.1717    22.0749    1527.65
     39.000    21.8533   4.980205    3.71415 1.2359e+00  1.7288965  1.8213348    34.9794    24.2431    21.8456    1527.08
     40.000    21.6900   4.964615    3.69156 1.2371e+00  1.7441017  1.7987917    34.9882    24.2953    21.6822    1526.68
     41.000    21.5626   4.952261    3.65497 1.2871e+00  1.7551602  1.7842112    34.9935    24.3346    21.5546    1526.36
     42.000    21.3534   4.932327    3.64066 1.3203e+00  1.7701282  1.7703479    35.0050    24.4011    21.3453    1525.84
     43.000    21.1764   4.915523    3.58873 1.4075e+00  1.7856402  1.7534560    35.0153    24.4574    21.1681    1525.39
     44.000    21.0113   4.899888    3.54762 1.4823e+00  1.8006246  1.7339391    35.0250    24.5098    21.0029    1524.98
     45.000    20.6870   4.867998    3.45529 1.4137e+00  1.8184002  1.7163756    35.0346    24.6049    20.6785    1524.13
     46.000    20.4967   4.849739    3.43720 1.4940e+00  1.8377518  1.6971644    35.0437    24.6631    20.4881    1523.64
     47.000    20.3004   4.830342    3.36832 1.4314e+00  1.8486759  1.6853343    35.0483    24.7189    20.2917    1523.13
     48.000    20.0741   4.807861    3.33637 1.4921e+00  1.8701855  1.6630997    35.0526    24.7822    20.0653    1522.53
     49.000    19.7997   4.779401    3.26993 1.5343e+00  1.8865619  1.6421263    35.0476    24.8506    19.7907    1521.78
     50.000    19.5371   4.753359    3.21995 1.5470e+00  1.9072392  1.6190878    35.0524    24.9228    19.5280    1521.07
     51.000    19.3684   4.738340    3.20899 1.5085e+00  1.9209257  1.6033478    35.0693    24.9796    19.3592    1520.63
     52.000    19.3595   4.738522    3.19808 1.4745e+00  1.9240352  1.6016806    35.0780    24.9885    19.3501    1520.63
     53.000    19.2490   4.726300    3.16836 1.4483e+00  1.9330768  1.5898888    35.0690    25.0101    19.2395    1520.33
     54.000    18.9909   4.696837    3.11354 1.4877e+00  1.9501054  1.5717914    35.0408    25.0547    18.9813    1519.58
     55.000    18.8379   4.679570    3.10677 1.4609e+00  1.9600744  1.5588558    35.0252    25.0817    18.8282    1519.14
     56.000    18.5631   4.648886    3.06038 1.4733e+00  1.9755854  1.5402658    34.9998    25.1316    18.5533    1518.34
     57.000    18.0005   4.582443    2.85697 1.3984e+00  2.0052800  1.5102099    34.9144    25.2059    17.9907    1516.63
     58.000    17.2171   4.495147    2.57671 1.3888e+00  2.0996217  1.4495908    34.8357    25.3361    17.2075    1514.25
     59.000    16.7295   4.444392    2.47929 1.2926e+00  2.1757978  1.4043759    34.8149    25.4362    16.7199    1512.78
     60.000    16.6822   4.439995    2.49735 1.1529e+00  2.1930567  1.3945783    34.8170    25.4489    16.6724    1512.65
     61.000    16.6686   4.438949    2.50536 1.0830e+00  2.1926785  1.3900924    34.8193    25.4538    16.6587    1512.63
     62.000    16.6257   4.434993    2.50865 1.0957e+00  2.1900188  1.3881686    34.8215    25.4655    16.6156    1512.52
     63.000    16.5968   4.432289    2.53192 1.0322e+00  2.1885443  1.3876677    34.8224    25.4730    16.5867    1512.45
     64.000    16.5187   4.425187    2.57039 1.0041e+00  2.1862360  1.3810743    34.8275    25.4952    16.5084    1512.23
     65.000    16.4688   4.421477    2.62120 1.0294e+00  2.1742806  1.3711008    34.8381    25.5149    16.4583    1512.11
     66.000    16.4384   4.419335    2.65134 9.9583e-01  2.1633236  1.3681739    34.8453    25.5275    16.4278    1512.04
     67.000    16.4281   4.418928    2.66573 9.0897e-01  2.1564838  1.3645507    34.8503    25.5337    16.4173    1512.03
     68.000    16.4437   4.422413    2.68177 8.9171e-01  2.1497244  1.3626300    34.8670    25.5430    16.4328    1512.12
     69.000    16.4879   4.428801    2.71346 9.5000e-01  2.1415715  1.3642810    34.8844    25.5461    16.4768    1512.29
     70.000    16.5245   4.434084    2.73797 8.3898e-01  2.1344096  1.3669208    34.8986    25.5484    16.5132    1512.43
     71.000    16.5388   4.436159    2.73122 8.0946e-01  2.1288971  1.3681540    34.9040    25.5492    16.5274    1512.50
