       PrDM      T090C      C0S/m    Sbeox0V       FlSP     Upoly0     Upoly1     Upoly2      Sal00  Sigma-t00 Potemp090C       SvDM Sbeox0ML/L
      3.000    23.4760   5.088593     2.6907 8.5935e-02  1.6467347  14.239117  0.0872041    34.5413    23.4480    23.4753    1530.17     4.8137
      4.000    23.4830   5.089531     2.6905 8.4071e-02  1.6466903  14.255719  0.0865686    34.5427    23.4469    23.4821    1530.21     4.8078
      5.000    23.4821   5.089456     2.6908 8.6534e-02  1.6467233  14.256929  0.0925382    34.5424    23.4470    23.4811    1530.22     4.8145
      6.000    23.4817   5.089460     2.6898 8.5675e-02  1.6468941  14.259035  0.0902744    34.5425    23.4472    23.4805    1530.24     4.8106
      7.000    23.4808   5.089394     2.6895 8.6405e-02  1.6467189  14.257798  0.0889689    34.5424    23.4474    23.4793    1530.25     4.8146
      8.000    23.4563   5.086153     2.6865 8.6098e-02  1.6469845  14.256350  0.0900033    34.5365    23.4500    23.4546    1530.20     4.8043
      9.000    23.3236   5.068994     2.6894 8.9296e-02  1.6481313  14.189505  0.0903195    34.5088    23.4676    23.3217    1529.85     4.8306
     10.000    23.2141   5.054746     2.6839 8.8880e-02  1.6492422  14.149411  0.0868175    34.4851    23.4813    23.2120    1529.57     4.8271
     11.000    22.7968   5.001217     2.6923 8.8624e-02  1.6494949  14.090193  0.0857365    34.4000    23.5367    22.7945    1528.43     4.8871
     12.000    22.3118   4.940140     2.6982 9.4611e-02  1.6561205  13.726991  0.0872501    34.3077    23.6045    22.3094    1527.09     4.9304
     13.000    22.2319   4.931178     2.6974 1.0624e-01  1.6589531  13.366024  0.0847972    34.3005    23.6215    22.2293    1526.90     4.9295
     14.000    22.2188   4.929668     2.6982 1.0666e-01  1.6540214  13.443634  0.0888692    34.2987    23.6238    22.2160    1526.88     4.9433
     15.000    22.2036   4.927962     2.7032 1.0313e-01  1.6547690  13.553063  0.0895174    34.2971    23.6268    22.2006    1526.85     4.9540
     16.000    22.1984   4.927380     2.6974 1.0511e-01  1.6546770  13.498982  0.0935021    34.2963    23.6277    22.1952    1526.85     4.9392
     17.000    22.1722   4.924254     2.6993 1.0880e-01  1.6601280  13.285224  0.0860472    34.2922    23.6319    22.1689    1526.80     4.9488
     18.000    22.1500   4.921617     2.7005 1.1375e-01  1.6590571  13.243352  0.0910830    34.2888    23.6355    22.1465    1526.75     4.9550
     19.000    22.1362   4.919997     2.6970 1.1362e-01  1.6583131  13.230318  0.0897108    34.2868    23.6379    22.1324    1526.73     4.9451
     20.000    22.1029   4.916021     2.6957 1.1539e-01  1.6591588  13.200345  0.0866864    34.2816    23.6433    22.0989    1526.65     4.9394
     21.000    22.0549   4.910469     2.6952 1.1947e-01  1.6598294  13.140262  0.0882300    34.2758    23.6523    22.0508    1526.54     4.9499
     22.000    22.0231   4.906707     2.6971 1.1815e-01  1.6598438  13.117020  0.0897622    34.2711    23.6577    22.0187    1526.47     4.9590
     23.000    21.9771   4.901663     2.6949 1.2254e-01  1.6604131  13.089094  0.0884001    34.2676    23.6678    21.9726    1526.36     4.9551
     24.000    21.8376   4.885850     2.6983 1.2831e-01  1.6618605  12.998939  0.0862284    34.2535    23.6959    21.8329    1525.99     4.9813
     25.000    21.3883   4.840025     2.7080 1.3945e-01  1.6650774  12.761091  0.0897898    34.2484    23.8158    21.3835    1524.81     5.0620
     26.000    20.1999   4.724280     2.7548 1.5441e-01  1.6685544  12.179613  0.0903057    34.2742    24.1541    20.1951    1521.63     5.3689
     27.000    18.9441   4.607957     2.8239 1.9771e-01  1.6661763  11.102912  0.0910482    34.3467    24.5361    18.9394    1518.22     5.6126
     28.000    18.5698   4.585319     2.8705 2.1903e-01  1.6403171  11.057543  0.0908722    34.4685    24.7235    18.5649    1517.30     5.7292
     29.000    18.2721   4.566195     2.8992 2.3130e-01  1.6562622  10.882538  0.0902435    34.5564    24.8651    18.2671    1516.56     5.7672
     30.000    18.0057   4.541022     2.9020 2.2786e-01  1.6451849  10.058974  0.0970037    34.5671    24.9390    18.0006    1515.81     5.8189
     31.000    17.7326   4.514722     2.9097 2.3653e-01  1.6438270  9.7365048  0.0907373    34.5734    25.0108    17.7273    1515.03     5.8548
     32.000    17.5594   4.497792     2.9111 2.4034e-01  1.6432316  9.5734549  0.0932286    34.5750    25.0540    17.5540    1514.54     5.8775
     33.000    17.4215   4.484860     2.9169 2.4923e-01  1.6426292  9.5394713  0.0941632    34.5808    25.0918    17.4160    1514.16     5.9041
     34.000    17.2847   4.471247     2.9163 2.6454e-01  1.6439216  9.4764656  0.0985289    34.5797    25.1238    17.2790    1513.76     5.9148
     35.000    17.2111   4.464641     2.9161 2.6726e-01  1.6450973  9.3609466  0.0944733    34.5851    25.1455    17.2053    1513.57     5.9177
     36.000    17.0924   4.452701     2.9175 2.8896e-01  1.6452743  9.3283673  0.0960890    34.5828    25.1721    17.0865    1513.23     5.9412
     37.000    16.9518   4.438436     2.9227 3.1003e-01  1.6459941  9.2881842  0.0968252    34.5790    25.2025    16.9458    1512.82     5.9765
     38.000    16.8534   4.428831     2.9244 3.2179e-01  1.6468169  9.2647628  0.0988071    34.5795    25.2262    16.8472    1512.54     5.9831
     39.000    16.7827   4.421413     2.9240 3.1946e-01  1.6482423  9.1628219  0.0986893    34.5751    25.2395    16.7764    1512.34     5.9760
     40.000    16.6954   4.412622     2.9189 3.1726e-01  1.6473230  9.0679989  0.1018332    34.5731    25.2584    16.6889    1512.09     5.9887
     41.000    16.6080   4.403334     2.9207 3.2384e-01  1.6511989  8.8946641  0.1041274    34.5666    25.2738    16.6014    1511.83     6.0079
     42.000    16.4709   4.388836     2.9302 3.3475e-01  1.6519569  8.7481225  0.1008836    34.5572    25.2986    16.4642    1511.42     6.0740
     43.000    16.4316   4.384719     2.9352 3.7121e-01  1.6513589  8.6787997  0.0991455    34.5547    25.3057    16.4247    1511.31     6.0528
     44.000    16.3430   4.376039     2.9226 3.8672e-01  1.6520754  8.5020602  0.1042401    34.5544    25.3260    16.3360    1511.06     6.0216
     45.000    16.3078   4.372762     2.9228 4.0260e-01  1.6545919  8.3826822  0.1052151    34.5556    25.3351    16.3006    1510.97     6.0526
     46.000    16.2573   4.367140     2.9286 4.1565e-01  1.6531603  8.3978004  0.1035213    34.5493    25.3419    16.2500    1510.82     6.0720
     47.000    16.2341   4.364810     2.9327 4.6460e-01  1.6515411  8.4783275  0.1044659    34.5484    25.3466    16.2266    1510.76     6.0798
     48.000    16.1770   4.359484     2.9281 4.5836e-01  1.6527116  8.3888986  0.1068181    34.5505    25.3613    16.1694    1510.61     6.0496
     49.000    16.1132   4.353230     2.9231 4.7591e-01  1.6561742  8.1876916  0.1016070    34.5500    25.3756    16.1055    1510.43     6.0733
     50.000    16.0545   4.347168     2.9271 5.3586e-01  1.6576660  8.1016286  0.1071526    34.5469    25.3866    16.0467    1510.26     6.0979
     51.000    16.0084   4.342901     2.9293 6.3266e-01  1.6572576  8.0759981  0.1080580    34.5487    25.3985    16.0004    1510.14     6.0905
     52.000    15.9868   4.340541     2.9191 6.8725e-01  1.6571554  8.0760166  0.1093184    34.5461    25.4015    15.9787    1510.08     6.0832
     53.000    15.8961   4.331511     2.9218 1.2440e+00  1.6602634  7.9167822  0.1107824    34.5444    25.4208    15.8878    1509.82     6.0816
     54.000    15.8466   4.326965     2.9156 1.5345e+00  1.6612228  7.8674677  0.1072397    34.5466    25.4337    15.8382    1509.68     6.0655
     55.000    15.8264   4.325050     2.9097 1.3488e+00  1.6642944  7.8351111  0.1132484    34.5468    25.4384    15.8179    1509.64     6.0576
     56.000    15.8129   4.324004     2.9061 1.4221e+00  1.6661212  7.8614582  0.1111806    34.5489    25.4431    15.8042    1509.61     6.0647
     57.000    15.7925   4.322116     2.8941 1.2283e+00  1.6679652  7.8924565  0.1137881    34.5494    25.4481    15.7836    1509.57     6.0105
     58.000    15.7504   4.317881     2.8790 1.0975e+00  1.6708450  7.8696060  0.1133511    34.5480    25.4565    15.7414    1509.45     5.9624
     59.000    15.6582   4.308806     2.8641 1.0619e+00  1.6755582  7.7512778  0.1096491    34.5470    25.4765    15.6491    1509.18     5.9482
     60.000    15.6014   4.302941     2.8536 1.0373e+00  1.6803911  7.6936446  0.1112772    34.5437    25.4868    15.5921    1509.02     5.9252
     61.000    15.6010   4.303309     2.8393 1.1748e+00  1.6820873  7.7137181  0.1133213    34.5470    25.4894    15.5916    1509.04     5.8969
     62.000    15.6160   4.305646     2.8167 1.2386e+00  1.6870250  7.7271946  0.1088243    34.5544    25.4918    15.6064    1509.11     5.8235
     63.000    15.5981   4.304084     2.7990 1.1025e+00  1.6931035  7.6737716  0.1112020    34.5557    25.4967    15.5884    1509.07     5.7587
     64.000    15.6016   4.305455     2.7668 1.1005e+00  1.7026881  7.6184423  0.1092879    34.5645    25.5027    15.5918    1509.11     5.6572
     65.000    15.5632   4.301758     2.7423 1.1411e+00  1.7143011  7.6616171  0.1127901    34.5646    25.5115    15.5532    1509.00     5.6472
     66.000    15.5626   4.301556     2.7373 1.2522e+00  1.7195376  7.6382051  0.1085239    34.5630    25.5103    15.5524    1509.02     5.6524
     67.000    15.5206   4.297484     2.7178 1.0246e+00  1.7243952  7.6001282  0.1071092    34.5628    25.5196    15.5103    1508.90     5.5863
     68.000    15.4800   4.293219     2.7098 9.0896e-01  1.7293609  7.5171955  0.1122275    34.5597    25.5263    15.4695    1508.79     5.5871
     69.000    15.4574   4.291032     2.7018 8.9839e-01  1.7329054  7.4719431  0.1120372    34.5595    25.5311    15.4468    1508.73     5.5536
     70.000    15.4439   4.289917     2.6889 9.5680e-01  1.7364552  7.4794212  0.1088330    34.5609    25.5353    15.4331    1508.71     5.5420
     71.000    15.4087   4.286214     2.6795 9.5538e-01  1.7403070  7.4985988  0.1075306    34.5581    25.5409    15.3978    1508.61     5.5059
     72.000    15.3478   4.280253     2.6570 7.5321e-01  1.7431668  7.4529229  0.1093874    34.5575    25.5540    15.3368    1508.43     5.4242
     73.000    15.3432   4.280308     2.6339 7.1390e-01  1.7497235  7.3526405  0.1074504    34.5616    25.5583    15.3320    1508.44     5.3515
     74.000    15.3459   4.281017     2.6125 7.9561e-01  1.7612213  7.3439392  0.1043422    34.5652    25.5604    15.3346    1508.47     5.3331
     75.000    15.3498   4.281655     2.6004 8.6311e-01  1.7691908  7.3842971  0.1058441    34.5671    25.5610    15.3384    1508.50     5.3280
     76.000    15.3418   4.280814     2.5944 7.9637e-01  1.7718270  7.3880946  0.1037751    34.5662    25.5621    15.3302    1508.49     5.3274
     77.000    15.3123   4.277475     2.6015 9.2746e-01  1.7733540  7.3781737  0.1040995    34.5616    25.5651    15.3006    1508.41     5.3649
     78.000    15.2742   4.272838     2.6170 9.2973e-01  1.7734023  7.3647267  0.1018950    34.5529    25.5668    15.2623    1508.30     5.4228
     79.000    15.2441   4.269502     2.6219 7.9367e-01  1.7710914  7.2895998  0.1055902    34.5489    25.5704    15.2320    1508.21     5.4131
     80.000    15.2433   4.269621     2.6214 9.2039e-01  1.7668484  7.2866082  0.1039709    34.5503    25.5716    15.2311    1508.23     5.4042
     81.000    15.2039   4.265404     2.6218 8.4539e-01  1.7661844  7.2766281  0.1069453    34.5464    25.5774    15.1916    1508.12     5.4290
     82.000    15.1783   4.262572     2.6287 8.7517e-01  1.7652906  7.2578699  0.1069827    34.5429    25.5804    15.1658    1508.05     5.4353
     83.000    15.1507   4.259822     2.6227 6.7791e-01  1.7648989  7.2028782  0.1057916    34.5419    25.5857    15.1381    1507.98     5.3976
     84.000    15.1357   4.258606     2.6154 7.1386e-01  1.7666903  7.1456903  0.1077545    34.5437    25.5903    15.1230    1507.95     5.3981
     85.000    15.1349   4.258578     2.6110 7.7972e-01  1.7698778  7.1492170  0.1036116    34.5438    25.5906    15.1220    1507.96     5.3816
     86.000    15.1132   4.256451     2.6040 5.8415e-01  1.7718261  7.1482692  0.1035746    34.5433    25.5950    15.1002    1507.91     5.3791
     87.000    15.1038   4.255409     2.6047 5.8294e-01  1.7728758  7.0925082  0.1018657    34.5417    25.5958    15.0907    1507.89     5.3859
     88.000    15.0935   4.254344     2.6046 7.1074e-01  1.7727157  7.0914999  0.1034206    34.5407    25.5973    15.0802    1507.88     5.3834
     89.000    15.0709   4.251960     2.6003 5.8357e-01  1.7722300  7.0830220  0.1071096    34.5387    25.6007    15.0574    1507.82     5.3646
     90.000    15.0546   4.250529     2.5956 5.8338e-01  1.7730120  7.0562749  0.1020582    34.5397    25.6050    15.0410    1507.78     5.3620
