CTD,20150316FEGNRIFS
#ORIGINAL_FILE=\Report\C3300.asc
#CTD_SAL ax+b   :a=1.0003361723921
#CTD_SAL ax+b   :b=-0.0131915369898792
# System UpLoad Time = Jan 26 2015 06:58:42
# NMEA Latitude = 32 59.99 N
# NMEA Longitude = 138 00.06 E
# Temperature SN = 1550
# Conductivity SN = 1244
# SBE43 Oxygen SN = 0357
# RINKO Oxygen SN = 0155
#1-3 dbar were removed because of error values.
NUMBER_HEADERS=10
EXPOCODE=49SO201501
SECT=138E
STNNBR=  C3300
CASTNO=1
DATE=20150125
TIME=2158
LATITUDE=32.99983
LONGITUDE=138.001
DEPTH=     0
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,RINKOOXY,RINKOOXY_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,UMOL/KG,
71,2,20.1818,2,34.86402928,2,234.3492148,1,207.4097263,1
72,2,20.1839,2,34.86412932,2,234.9433756,1,208.3214519,1
73,2,20.1782,2,34.86332905,2,232.1405906,1,207.2015839,1
74,2,20.0956,2,34.84992454,2,228.5773669,1,207.374396,1
75,2,20.0492,2,34.8370202,2,227.8774324,1,205.1642445,1
76,2,20.04,2,34.8352196,2,226.2677571,1,203.6487195,1
77,2,19.9809,2,34.82761704,2,224.1788357,1,203.4973384,1
78,2,19.9271,2,34.82091479,2,222.9665735,1,202.51426,1
79,2,19.9098,2,34.81821388,2,223.8427975,1,201.4088192,1
80,2,19.9073,2,34.81851399,2,224.5270618,1,200.4500948,1
81,2,19.8555,2,34.81361234,2,224.3046324,1,199.9457198,1
82,2,19.7892,2,34.80831056,2,226.5794195,1,200.1553711,1
83,2,19.7361,2,34.80480938,2,228.6735643,1,199.6326483,1
84,2,19.6857,2,34.80390908,2,229.4039686,1,199.7739518,1
85,2,19.5472,2,34.79550625,2,232.6503066,1,202.4125764,1
86,2,19.4946,2,34.79620649,2,233.2906074,1,203.9487073,1
87,2,19.4822,2,34.79570632,2,234.468047,1,204.7942937,1
88,2,19.454,2,34.79520615,2,234.7374869,1,206.1299341,1
89,2,19.4377,2,34.79530619,2,234.3344152,1,206.7145736,1
90,2,19.4175,2,34.79570632,2,235.5048903,1,207.5649951,1
91,2,19.3929,2,34.79800709,2,235.7769419,1,207.8867452,1
92,2,19.32,2,34.79850726,2,236.6692713,1,208.8082529,1
93,2,19.2798,2,34.79590639,2,235.9153618,1,209.4012557,1
94,2,19.1454,2,34.78030114,2,232.9262758,1,209.8822805,1
95,2,19.092,2,34.77429913,2,232.272046,1,209.8008845,1
96,2,19.0695,2,34.77459923,2,234.8223671,1,209.4060987,1
97,2,19.0683,2,34.77760024,2,235.3499296,1,208.4251439,1
98,2,19.0498,2,34.7775002,2,234.8650248,1,208.9311503,1
99,2,19.0329,2,34.77770027,2,234.7257343,1,208.9059374,1
100,2,19.0207,2,34.78030114,2,237.3914053,1,208.5600244,1
101,2,18.9859,2,34.78200172,2,238.7251113,1,208.878715,1
102,2,18.9751,2,34.7873035,2,240.2055076,1,208.9612298,1
103,2,18.9709,2,34.79410578,2,240.0548998,1,209.1979766,1
104,2,18.9679,2,34.79780703,2,239.5756536,1,210.1690406,1
105,2,18.9587,2,34.7992075,2,239.964361,1,211.2357498,1
106,2,18.9328,2,34.79910746,2,239.964361,1,212.5792931,1
107,2,18.9193,2,34.79730686,2,240.5367577,1,212.9591759,1
108,2,18.9111,2,34.79700676,2,240.4035612,1,212.4862005,1
109,2,18.9083,2,34.79740689,2,240.3626446,1,212.1071164,1
110,2,18.9084,2,34.79750693,2,240.287776,1,212.1988909,1
111,2,18.909,2,34.79770699,2,240.1510973,1,212.5162898,1
112,2,18.9095,2,34.79780703,2,239.9134329,1,212.7419056,1
113,2,18.9077,2,34.79760696,2,240.2886466,1,213.0258711,1
114,2,18.9072,2,34.79750693,2,240.6085793,1,212.4096664,1
115,2,18.9081,2,34.79780703,2,240.3117166,1,212.3133877,1
116,2,18.9072,2,34.79910746,2,240.6464489,1,212.246815,1
117,2,18.8962,2,34.79900743,2,240.5811565,1,212.2219624,1
118,2,18.8788,2,34.79590639,2,239.8938452,1,212.201882,1
119,2,18.8322,2,34.79190504,2,239.724085,1,212.5330006,1
120,2,18.8259,2,34.79070464,2,239.3210133,1,212.604583,1
121,2,18.7382,2,34.77760024,2,238.4056138,1,213.1588749,1
122,2,18.6575,2,34.77209839,2,238.8800719,1,213.3728478,1
123,2,18.6371,2,34.77469926,2,239.6361579,1,212.9461636,1
124,2,18.6277,2,34.77219842,2,238.6715715,1,212.3156789,1
125,2,18.5826,2,34.76969758,2,238.7603692,1,212.6615484,1
126,2,18.5789,2,34.76979761,2,239.5221138,1,212.0994704,1
127,2,18.5623,2,34.76819708,2,239.6627101,1,212.2160322,1
128,2,18.5309,2,34.76449583,2,239.2322156,1,212.1833538,1
129,2,18.5101,2,34.76229509,2,238.7986741,1,212.3400512,1
130,2,18.4936,2,34.75889395,2,238.3237807,1,212.246644,1
131,2,18.4804,2,34.75679324,2,238.4134489,1,211.9813081,1
132,2,18.4691,2,34.75579291,2,238.097869,1,211.7487299,1
133,2,18.4664,2,34.75539277,2,238.9793164,1,211.6685892,1
134,2,18.4542,2,34.75559284,2,238.4082255,1,211.5079104,1
135,2,18.4478,2,34.75559284,2,237.6399517,1,211.1842628,1
136,2,18.4406,2,34.75579291,2,238.5771152,1,211.0265826,1
137,2,18.4387,2,34.75629308,2,238.951023,1,210.9412187,1
138,2,18.4239,2,34.75569287,2,239.2126279,1,211.2571426,1
139,2,18.4217,2,34.75549281,2,238.6145495,1,211.3813796,1
140,2,18.421,2,34.75539277,2,239.0803019,1,211.3159375,1
141,2,18.4207,2,34.75519271,2,238.9074947,1,211.31619,1
142,2,18.4204,2,34.75529274,2,239.3732472,1,211.2041049,1
143,2,18.4203,2,34.75529274,2,238.7512283,1,211.2272989,1
144,2,18.4202,2,34.75519271,2,238.5314105,1,211.5057527,1
145,2,18.4182,2,34.75519271,2,238.8374142,1,211.3746129,1
146,2,18.4166,2,34.75509267,2,237.9685901,1,211.1467985,1
147,2,18.4122,2,34.7545925,2,238.4208487,1,211.1906683,1
148,2,18.4077,2,34.7539923,2,237.9254971,1,211.1146653,1
149,2,18.4055,2,34.75349213,2,237.9507435,1,211.2625144,1
150,2,18.4013,2,34.7527919,2,238.4104019,1,211.306657,1
151,2,18.3988,2,34.7521917,2,237.8427934,1,211.0834028,1
152,2,18.3953,2,34.75149146,2,237.5907647,1,210.8914694,1
153,2,18.3864,2,34.74969086,2,237.1580938,1,210.8137369,1
154,2,18.3792,2,34.74809032,2,237.1720228,1,210.6580785,1
155,2,18.3756,2,34.74779022,2,237.2055396,1,210.5543887,1
156,2,18.3739,2,34.74759015,2,237.0292501,1,210.4233479,1
157,2,18.3738,2,34.74799029,2,237.1772462,1,210.2139078,1
158,2,18.3744,2,34.75019103,2,237.5959881,1,210.8147315,1
159,2,18.3715,2,34.74989092,2,238.2954873,1,211.0088457,1
160,2,18.3554,2,34.74809032,2,238.8604842,1,211.4276334,1
161,2,18.335,2,34.74608965,2,239.034162,1,211.2085151,1
162,2,18.3219,2,34.74438908,2,238.7520988,1,211.262865,1
163,2,18.3007,2,34.7405878,2,239.7262614,1,212.6307146,1
164,2,18.2604,2,34.73408561,2,239.4511628,1,212.6653102,1
165,2,18.2594,2,34.73408561,2,240.1693791,1,213.7629529,1
166,2,18.2586,2,34.73448575,2,240.3173752,1,213.9951207,1
167,2,18.2617,2,34.73448575,2,240.3669975,1,213.5641039,1
168,2,18.2511,2,34.73248507,2,240.4671125,1,213.0528558,1
169,2,18.2342,2,34.73028434,2,240.6094499,1,213.4272604,1
170,2,18.2346,2,34.73068447,2,240.6516723,1,213.702035,1
171,2,18.234,2,34.73058444,2,240.4501365,1,213.6363932,1
172,2,18.2339,2,34.7307845,2,241.287185,1,213.5430195,1
173,2,18.2343,2,34.7310846,2,240.6220731,1,213.6590336,1
174,2,18.2343,2,34.73088454,2,241.0564852,1,214.0084818,1
175,2,18.2351,2,34.73138471,2,240.4645008,1,213.3053971,1
176,2,18.2349,2,34.73148474,2,240.1367329,1,213.2587115,1
177,2,18.2361,2,34.73228501,2,241.7124561,1,213.2536303,1
178,2,18.2383,2,34.73378551,2,241.7098444,1,213.3599827,1
179,2,18.2362,2,34.73368548,2,241.2632444,1,213.7872432,1
180,2,18.2285,2,34.73258511,2,241.3202665,1,213.6774586,1
181,2,18.2169,2,34.7307845,2,241.6171292,1,213.775172,1
182,2,18.203,2,34.72848373,2,241.4121111,1,214.2078292,1
183,2,18.1757,2,34.72398222,2,241.3176548,1,214.3471432,1
184,2,18.1652,2,34.72258175,2,241.7599019,1,214.2307085,1
185,2,18.1615,2,34.72198155,2,241.0355916,1,214.3836065,1
186,2,18.1525,2,34.72058107,2,241.6014591,1,214.352242,1
187,2,18.1267,2,34.7164797,2,241.6206115,1,214.4404905,1
188,2,18.1007,2,34.71177812,2,241.2157986,1,214.5062507,1
189,2,18.0853,2,34.70937731,2,240.5920386,1,214.6215494,1
190,2,18.0799,2,34.70887714,2,240.5672275,1,214.2690622,1
191,2,18.0732,2,34.70807687,2,241.0316741,1,214.1819553,1
192,2,18.0686,2,34.7075767,2,240.6895419,1,214.1755994,1
193,2,18.0562,2,34.7057761,2,240.9829224,1,214.2077237,1
194,2,18.0478,2,34.70447566,2,241.14093,1,214.0084663,1
195,2,18.0407,2,34.70347533,2,240.3643858,1,214.1318437,1
196,2,18.0311,2,34.70217489,2,240.6551546,1,214.0575567,1
197,2,18.031,2,34.70267506,2,240.4705947,1,213.8231778,1
198,2,18.0256,2,34.70157469,2,240.4379485,1,213.8216402,1
199,2,18.0179,2,34.70017422,2,240.5985678,1,213.926265,1
200,2,18.0078,2,34.69847365,2,239.7001444,1,213.758874,1
201,2,17.9952,2,34.69617287,2,240.1049573,1,213.6044328,1
202,2,17.9823,2,34.6938721,2,239.4685741,1,213.5902893,1
203,2,17.9663,2,34.69057099,2,239.4620448,1,213.7300994,1
204,2,17.9506,2,34.68777005,2,238.4369542,1,213.5140888,1
205,2,17.9424,2,34.68626954,2,238.3216043,1,213.2952071,1
206,2,17.927,2,34.6831685,2,237.4771559,1,213.5243749,1
207,2,17.8976,2,34.6810678,2,236.4799234,1,213.130052,1
208,2,17.8619,2,34.67286504,2,235.0713487,1,212.7246853,1
209,2,17.7824,2,34.65926047,2,233.2357618,1,212.4343768,1
210,2,17.762,2,34.65585932,2,232.8640304,1,211.627229,1
211,2,17.7208,2,34.64945717,2,231.1350877,1,211.1669894,1
212,2,17.6678,2,34.64135445,2,229.7487125,1,210.9921857,1
213,2,17.6328,2,34.63925374,2,227.7224717,1,210.61856,1
214,2,17.5824,2,34.63195129,2,223.3587632,1,210.5044393,1
215,2,17.4461,2,34.60764312,2,217.2635002,1,210.4019947,1
216,2,17.3809,2,34.60304157,2,214.3745292,1,209.2748634,1
217,2,17.3679,2,34.61924702,2,211.7249637,1,206.8200652,1
218,2,17.3006,2,34.62534907,2,211.6204959,1,204.7090435,1
219,2,17.2786,2,34.62825005,2,214.5704064,1,202.7522919,1
220,2,17.2428,2,34.63005065,2,218.9419501,1,201.0158954,1
221,2,17.2283,2,34.63865354,2,221.1919261,1,199.0454028,1
222,2,17.2089,2,34.64085428,2,220.0332037,1,197.0730925,1
223,2,17.1553,2,34.63765321,2,216.1979283,1,196.4509745,1
224,2,17.1136,2,34.63415203,2,214.3201189,1,196.2306448,1
225,2,17.0753,2,34.63225139,2,213.5775267,1,196.1909756,1
226,2,17.0333,2,34.62995062,2,212.0527316,1,196.091624,1
227,2,17.0043,2,34.62815001,2,204.265525,1,195.6795886,1
