       PrDM      T090C      C0S/m    Sbeox0V       FlSP     Upoly0     Upoly1     Upoly2      Sal00  Sigma-t00 Potemp090C       SvDM Sbeox0ML/L
     41.000     5.7605   3.210114     2.6809 8.4776e-01  1.8688714 -1.3322240  0.1291202    32.6614    25.7340     5.7573    1471.41     6.8485
     42.000     5.6880   3.204142     2.6746 6.9112e-01  1.8729842 -1.4338594  0.1268701    32.6638    25.7445     5.6847    1471.13     6.8462
     43.000     5.6101   3.197754     2.6716 6.3786e-01  1.8761564 -1.5605893  0.1300156    32.6667    25.7560     5.6068    1470.84     6.8587
     44.000     5.5512   3.193103     2.6692 7.5737e-01  1.8769105 -1.5692263  0.1291447    32.6707    25.7661     5.5478    1470.62     6.8541
     45.000     5.4279   3.182617     2.6631 5.7670e-01  1.8806113 -1.6908047  0.1303132    32.6712    25.7808     5.4244    1470.14     6.8613
     46.000     5.3139   3.173119     2.6605 6.1289e-01  1.8840675 -1.7881363  0.1297090    32.6737    25.7959     5.3104    1469.70     6.8671
     47.000     5.2765   3.169891     2.6539 5.4959e-01  1.8864969 -1.8252732  0.1307978    32.6729    25.7996     5.2730    1469.56     6.8521
     48.000     5.2639   3.168800     2.6486 4.6860e-01  1.8893681 -1.9078616  0.1300231    32.6722    25.8004     5.2603    1469.52     6.8327
     49.000     5.2574   3.168299     2.6444 5.0569e-01  1.8913356 -1.9567675  0.1299151    32.6724    25.8013     5.2537    1469.52     6.8300
     50.000     5.2576   3.168426     2.6407 5.2102e-01  1.8912931 -1.9328500  0.1273485    32.6731    25.8019     5.2539    1469.53     6.8166
     51.000     5.2441   3.167422     2.6337 4.6678e-01  1.8926911 -1.9502946  0.1299207    32.6744    25.8044     5.2402    1469.50     6.7915
     52.000     5.1956   3.163556     2.6292 4.1905e-01  1.8956966 -2.0082440  0.1293441    32.6770    25.8120     5.1917    1469.32     6.7910
     53.000     5.1571   3.160664     2.6243 4.8234e-01  1.8985690 -2.0264628  0.1286425    32.6811    25.8196     5.1531    1469.18     6.7798
     54.000     5.1073   3.156520     2.6143 3.4685e-01  1.9016538 -2.0571696  0.1297233    32.6819    25.8258     5.1033    1469.00     6.7336
     55.000     5.0521   3.152719     2.6034 3.2509e-01  1.9073645 -2.1534916  0.1292605    32.6918    25.8398     5.0481    1468.80     6.6849
     56.000     5.0091   3.149607     2.5868 3.9003e-01  1.9154415 -2.2098946  0.1265871    32.6979    25.8494     5.0050    1468.65     6.6366
     57.000     5.0007   3.148969     2.5698 3.8600e-01  1.9205856 -2.1955709  0.1275113    32.6982    25.8506     4.9965    1468.63     6.6139
     58.000     4.9864   3.147982     2.5609 3.3022e-01  1.9229244 -2.1825786  0.1265881    32.7004    25.8539     4.9821    1468.59     6.6013
     59.000     4.9550   3.145793     2.5557 2.7827e-01  1.9270999 -2.2570143  0.1260959    32.7056    25.8615     4.9507    1468.48     6.5840
     60.000     4.9458   3.145192     2.5511 3.3013e-01  1.9296004 -2.2885753  0.1268013    32.7071    25.8637     4.9414    1468.46     6.5915
     61.000     4.9399   3.144884     2.5464 2.9786e-01  1.9286043 -2.2821019  0.1272903    32.7089    25.8658     4.9354    1468.46     6.5760
     62.000     4.9213   3.143597     2.5422 2.6430e-01  1.9311602 -2.3305419  0.1290502    32.7119    25.8702     4.9168    1468.40     6.5464
     63.000     4.8836   3.141242     2.5380 2.9244e-01  1.9340451 -2.3687468  0.1258835    32.7213    25.8818     4.8790    1468.28     6.5653
     64.000     4.8728   3.141025     2.5383 3.1032e-01  1.9346371 -2.3548368  0.1284531    32.7290    25.8891     4.8681    1468.26     6.5803
     65.000     4.8475   3.139996     2.5367 3.0360e-01  1.9347243 -2.3450505  0.1281099    32.7415    25.9018     4.8428    1468.19     6.5316
     66.000     4.7668   3.135435     2.5151 2.2496e-01  1.9363406 -2.3863756  0.1295057    32.7679    25.9314     4.7621    1467.90     6.4122
     67.000     4.7349   3.133515     2.4932 2.2992e-01  1.9484300 -2.4664596  0.1293853    32.7767    25.9419     4.7301    1467.80     6.3814
     68.000     4.7182   3.133426     2.4744 2.2831e-01  1.9557439 -2.4725718  0.1290568    32.7916    25.9555     4.7134    1467.77     6.2914
     69.000     4.6923   3.133190     2.4439 2.0462e-01  1.9642471 -2.5138063  0.1296274    32.8140    25.9760     4.6874    1467.70     6.1686
     70.000     4.6790   3.132573     2.4171 2.0636e-01  1.9771526 -2.5058154  0.1291832    32.8195    25.9818     4.6740    1467.67     6.1357
     71.000     4.6692   3.131967     2.4029 2.0702e-01  1.9855465 -2.5123373  0.1273549    32.8217    25.9846     4.6641    1467.65     6.1331
     72.000     4.6549   3.131071     2.3963 1.7442e-01  1.9902531 -2.5229572  0.1310425    32.8249    25.9887     4.6498    1467.61     6.1317
     73.000     4.6160   3.128555     2.3949 1.7366e-01  1.9938540 -2.5997147  0.1292108    32.8338    25.9999     4.6108    1467.48     6.1445
