       PrDM      T090C      C0S/m       FlSP     Upoly0     Upoly1      Sal00 Sbeox0ML/L  Sigma-t00       SvDM Potemp090C
     48.000    22.0242   4.944383 1.0812e-01  0.0097680  0.0861520    34.5570     5.1075    23.8745    1527.21    22.0147
     49.000    21.9839   4.940529 1.0895e-01  0.0097680  0.0881210    34.5584     5.1004    23.8867    1527.12    21.9743
     50.000    21.6182   4.895145 1.0653e-01  0.0097680  0.0891537    34.4930     5.1563    23.9388    1526.10    21.6084
     51.000    21.6611   4.903603 1.0542e-01  0.0097680  0.0895386    34.5252     5.1603    23.9513    1526.27    21.6511
     52.000    21.6769   4.907895 1.1888e-01  0.0097680  0.0898279    34.5460     5.1593    23.9628    1526.35    21.6668
     53.000    21.7430   4.921091 1.2084e-01  0.0097680  0.0883776    34.5969     5.1408    23.9831    1526.60    21.7327
     54.000    21.7700   4.928394 1.0908e-01  0.0097680  0.0873892    34.6326     5.1153    24.0028    1526.72    21.7594
     55.000    21.5446   4.898788 1.1266e-01  0.0097680  0.0877203    34.5791     5.1320    24.0244    1526.08    21.5339
     56.000    21.2483   4.863553 1.3531e-01  0.0097680  0.0864977    34.5372     5.1613    24.0740    1525.27    21.2376
     57.000    20.9974   4.833532 1.2151e-01  0.0097680  0.0879434    34.4997     5.1839    24.1138    1524.57    20.9866
     58.000    20.8942   4.824121 1.2051e-01  0.0097680  0.0879122    34.5074     5.1924    24.1475    1524.32    20.8832
     59.000    20.8671   4.821770 1.5276e-01  0.0097680  0.0876532    34.5102     5.1918    24.1570    1524.26    20.8559
     60.000    20.8010   4.815318 1.3846e-01  0.0097680  0.0890068    34.5115     5.1896    24.1759    1524.10    20.7896
     61.000    20.7091   4.807266 1.3021e-01  0.0097680  0.0912873    34.5209     5.1965    24.2078    1523.88    20.6976
     62.000    20.7073   4.808339 1.4295e-01  0.0097680  0.0913969    34.5307     5.1945    24.2157    1523.90    20.6956
     63.000    20.6984   4.807753 1.3366e-01  0.0097680  0.0923665    34.5328     5.1927    24.2197    1523.90    20.6866
     64.000    20.6424   4.802316 1.3105e-01  0.0097680  0.0922023    34.5342     5.1920    24.2358    1523.76    20.6303
     65.000    20.6008   4.801216 1.3617e-01  0.0097680  0.0914304    34.5588     5.1762    24.2657    1523.69    20.5886
     66.000    20.5459   4.797732 1.5530e-01  0.0097680  0.0892138    34.5750     5.1657    24.2928    1523.58    20.5335
     67.000    20.5085   4.795120 1.5645e-01  0.0097680  0.0886647    34.5841     5.1722    24.3097    1523.50    20.4959
     68.000    20.5333   4.800902 1.4325e-01  0.0097680  0.0889614    34.6103     5.1753    24.3230    1523.62    20.5205
     69.000    20.5839   4.810925 1.6995e-01  0.0097680  0.0873551    34.6496     5.1818    24.3394    1523.81    20.5710
     70.000    20.5864   4.812815 1.6018e-01  0.0097680  0.0872239    34.6625     5.1811    24.3486    1523.85    20.5732
     71.000    20.5552   4.808856 1.5248e-01  0.0097680  0.0863546    34.6557     5.1779    24.3517    1523.78    20.5419
     72.000    20.5233   4.804371 1.7203e-01  0.0097680  0.0871139    34.6451     5.1635    24.3522    1523.69    20.5098
     73.000    20.3922   4.786539 1.5973e-01  0.0097680  0.0880437    34.6075     5.1493    24.3585    1523.31    20.3786
     74.000    20.3333   4.779821 1.6085e-01  0.0097680  0.0896106    34.6008     5.1449    24.3691    1523.16    20.3195
     75.000    20.2136   4.764470 1.8257e-01  0.0097680  0.0909018    34.5736     5.1584    24.3801    1522.81    20.1997
     76.000    20.1174   4.753853 1.7113e-01  0.0097680  0.0923951    34.5657     5.1611    24.3995    1522.56    20.1033
     77.000    20.1272   4.757282 1.7840e-01  0.0097680  0.0898102    34.5852     5.1499    24.4118    1522.62    20.1130
     78.000    20.1705   4.765254 1.8355e-01  0.0097680  0.0920238    34.6143     5.1461    24.4225    1522.79    20.1561
     79.000    20.1926   4.769086 1.7554e-01  0.0097680  0.0898252    34.6270     5.1612    24.4264    1522.88    20.1780
     80.000    20.2600   4.779740 1.7121e-01  0.0097680  0.0916876    34.6581     5.1757    24.4323    1523.12    20.2451
