       PrDM      T090C      C0S/m    Sbeox0V       FlSP     Upoly0     Upoly1     Upoly2      Sal00  Sigma-t00 Potemp090C       SvDM Sbeox0ML/L
      2.000    12.4666   3.837709     2.7535 4.2480e-01  1.7600259  4.4943121  0.1045261    33.0059    24.9522    12.4663    1496.04     6.0685
      3.000    12.5602   3.846249     2.7565 4.0623e-01  1.7603947  4.5228260  0.1012924    33.0050    24.9335    12.5598    1496.38     6.0654
      4.000    12.6138   3.851281     2.7566 3.8395e-01  1.7585582  4.6022158  0.1039134    33.0056    24.9236    12.6133    1496.57     6.0659
      5.000    12.6222   3.852127     2.7575 3.8061e-01  1.7587138  4.6378304  0.0990516    33.0059    24.9222    12.6215    1496.62     6.0638
      6.000    12.6227   3.852193     2.7590 3.6544e-01  1.7588778  4.6483012  0.1023651    33.0057    24.9219    12.6219    1496.64     6.0711
      7.000    12.6158   3.851584     2.7601 3.9761e-01  1.7587540  4.6478935  0.1022789    33.0056    24.9232    12.6148    1496.63     6.0723
      8.000    12.6099   3.851107     2.7562 4.2098e-01  1.7588816  4.6461000  0.1026929    33.0057    24.9244    12.6089    1496.63     6.0596
      9.000    12.5718   3.847503     2.7535 4.2958e-01  1.7589064  4.6463027  0.0974604    33.0043    24.9306    12.5706    1496.51     6.0685
     10.000    12.2390   3.817175     2.7562 5.0829e-01  1.7626954  4.5142261  0.1030054    33.0056    24.9952    12.2377    1495.40     6.1259
     11.000    11.9139   3.788114     2.7657 5.3866e-01  1.7652239  4.3045244  0.1039018    33.0118    25.0613    11.9125    1494.30     6.1813
     12.000    11.7920   3.777580     2.7662 6.1504e-01  1.7658577  4.1534781  0.1033575    33.0172    25.0882    11.7905    1493.91     6.1996
     13.000    11.6745   3.767686     2.7657 6.9010e-01  1.7684999  3.9687693  0.1044381    33.0249    25.1158    11.6729    1493.53     6.2141
     14.000    11.7395   3.773528     2.7635 7.1121e-01  1.7679528  3.8878901  0.1032655    33.0236    25.1028    11.7378    1493.77     6.2008
     15.000    11.6060   3.762048     2.7648 7.6175e-01  1.7688435  3.8606930  0.1028740    33.0300    25.1324    11.6042    1493.33     6.2186
     16.000    11.5468   3.756995     2.7612 8.1833e-01  1.7697857  3.8446664  0.1050419    33.0330    25.1455    11.5449    1493.14     6.2224
     17.000    11.4965   3.752684     2.7619 8.7293e-01  1.7702059  3.8014045  0.1057502    33.0352    25.1565    11.4944    1492.98     6.2237
     18.000    11.4828   3.751525     2.7587 8.6856e-01  1.7710941  3.7410454  0.1022212    33.0357    25.1593    11.4806    1492.95     6.2181
     19.000    11.4671   3.750212     2.7591 8.9021e-01  1.7712357  3.7268548  0.1032130    33.0364    25.1627    11.4648    1492.92     6.2252
     20.000    11.4511   3.748810     2.7575 8.8198e-01  1.7719462  3.7186211  0.1068631    33.0365    25.1658    11.4487    1492.88     6.2211
     21.000    11.4431   3.748151     2.7535 9.0712e-01  1.7731088  3.6925975  0.1011930    33.0368    25.1674    11.4405    1492.86     6.2082
     22.000    11.4027   3.744713     2.7475 8.8825e-01  1.7750058  3.6573262  0.1057609    33.0387    25.1763    11.4000    1492.74     6.1987
     23.000    11.3514   3.740446     2.7471 9.2166e-01  1.7778461  3.5995400  0.1038498    33.0422    25.1883    11.3486    1492.58     6.2189
     24.000    11.2728   3.733895     2.7489 9.3603e-01  1.7780699  3.5439655  0.1034498    33.0478    25.2068    11.2699    1492.33     6.2288
     25.000    11.1562   3.725077     2.7536 9.6424e-01  1.7787411  3.4866005  0.1070556    33.0651    25.2412    11.1532    1491.96     6.2691
     26.000    10.9998   3.713401     2.7587 9.4009e-01  1.7796520  3.3809357  0.1049928    33.0898    25.2883    10.9967    1491.45     6.3200
     27.000    10.8950   3.705824     2.7671 9.3194e-01  1.7784954  3.2818691  0.1034352    33.1087    25.3215    10.8918    1491.12     6.3415
     28.000    10.8079   3.699481     2.7726 9.7321e-01  1.7763120  3.2188583  0.1070698    33.1239    25.3487    10.8046    1490.85     6.3739
     29.000    10.7338   3.693877     2.7752 9.3957e-01  1.7761511  3.1481465  0.1072892    33.1347    25.3701    10.7304    1490.62     6.3793
     30.000    10.5661   3.680670     2.7793 9.3897e-01  1.7768140  3.0495309  0.1093136    33.1545    25.4147    10.5626    1490.06     6.4079
     31.000    10.3544   3.662498     2.7844 8.8856e-01  1.7779569  2.9522043  0.1059211    33.1643    25.4588    10.3508    1489.33     6.4701
     32.000    10.2860   3.655579     2.7842 8.7348e-01  1.7788019  2.7469790  0.1061777    33.1566    25.4644    10.2823    1489.09     6.4551
     33.000    10.0651   3.634294     2.7815 8.0541e-01  1.7810653  2.6492280  0.1085828    33.1429    25.4911    10.0614    1488.30     6.4862
     34.000    10.0159   3.630228     2.7801 7.9655e-01  1.7826761  2.5284501  0.1121245    33.1463    25.5020    10.0120    1488.14     6.4770
     35.000     9.7238   3.605906     2.7794 7.7705e-01  1.7869193  2.3858248  0.1068033    33.1666    25.5664     9.7199    1487.12     6.5312
     36.000     9.5268   3.588961     2.7694 7.8809e-01  1.7903207  2.1919599  0.1092235    33.1743    25.6045     9.5229    1486.42     6.5302
     37.000     9.3920   3.577157     2.7672 7.8060e-01  1.7919998  2.0862458  0.1119977    33.1773    25.6287     9.3880    1485.95     6.5168
     38.000     8.9663   3.538036     2.7648 7.8748e-01  1.7953910  1.9945911  0.1105267    33.1673    25.6883     8.9623    1484.38     6.6208
     39.000     8.8144   3.524775     2.7667 7.9077e-01  1.8004000  1.6925420  0.1092347    33.1704    25.7145     8.8104    1483.84     6.6109
     40.000     8.4784   3.496324     2.7610 7.9540e-01  1.7994253  1.4759238  0.1111847    33.1863    25.7781     8.4744    1482.61     6.6559
     41.000     8.0044   3.454865     2.7536 7.6686e-01  1.8085673  1.2719393  0.1142121    33.1941    25.8549     8.0004    1480.85     6.6784
     42.000     7.4230   3.401673     2.7493 7.3036e-01  1.8200306  0.9061142  0.1127838    33.1761    25.9239     7.4191    1478.62     6.8305
     43.000     7.1860   3.380912     2.7590 7.6636e-01  1.8256375  0.4059613  0.1145138    33.1775    25.9579     7.1820    1477.72     6.8811
     44.000     7.0237   3.367400     2.7481 7.6114e-01  1.8279506  0.0353992  0.1101439    33.1857    25.9865     7.0198    1477.11     6.8418
     45.000     6.9065   3.356590     2.7455 7.6293e-01  1.8300695 -0.0712635  0.1137603    33.1799    25.9978     6.9025    1476.67     6.8467
     46.000     6.8809   3.354989     2.7415 8.0502e-01  1.8314217 -0.1480831  0.1119911    33.1866    26.0064     6.8768    1476.59     6.8383
     47.000     6.8294   3.351578     2.7322 7.9505e-01  1.8347305 -0.2463420  0.1160307    33.1984    26.0226     6.8252    1476.42     6.8149
     48.000     6.8848   3.358400     2.7240 7.2509e-01  1.8375444 -0.3043412  0.1160568    33.2193    26.0317     6.8805    1476.68     6.7619
     49.000     6.8756   3.358405     2.7162 7.2184e-01  1.8396459 -0.3363950  0.1140273    33.2278    26.0396     6.8712    1476.67     6.7436
     50.000     6.7637   3.347699     2.7125 7.5441e-01  1.8444590 -0.4228135  0.1150751    33.2179    26.0467     6.7593    1476.24     6.7783
     51.000     6.6942   3.340676     2.6999 7.8690e-01  1.8483758 -0.4700182  0.1127736    33.2074    26.0475     6.6897    1475.97     6.7407
     52.000     6.6773   3.339370     2.6968 7.2904e-01  1.8519033 -0.5779134  0.1158303    33.2089    26.0510     6.6727    1475.92     6.7329
     53.000     6.6994   3.341676     2.6941 7.6441e-01  1.8520232 -0.5838120  0.1167481    33.2124    26.0509     6.6947    1476.03     6.7360
     54.000     6.7287   3.345013     2.6925 7.8287e-01  1.8519825 -0.5385160  0.1166618    33.2202    26.0532     6.7240    1476.17     6.7191
     55.000     6.7647   3.349344     2.6871 6.8512e-01  1.8519655 -0.4927344  0.1148316    33.2326    26.0582     6.7598    1476.34     6.6963
     56.000     6.7524   3.348127     2.6825 7.3749e-01  1.8525439 -0.4666428  0.1141842    33.2307    26.0583     6.7474    1476.31     6.6812
     57.000     6.6263   3.335869     2.6772 7.8334e-01  1.8558784 -0.5207293  0.1145002    33.2173    26.0643     6.6213    1475.81     6.6885
     58.000     6.5704   3.330324     2.6695 7.3887e-01  1.8605582 -0.6109241  0.1159022    33.2098    26.0657     6.5654    1475.60     6.6830
     59.000     6.6566   3.339740     2.6682 7.0137e-01  1.8605906 -0.6363351  0.1175746    33.2296    26.0700     6.6515    1475.98     6.6604
     60.000     6.6302   3.337394     2.6662 7.2435e-01  1.8607531 -0.6481909  0.1136959    33.2289    26.0729     6.6250    1475.89     6.6614
     61.000     6.5951   3.334040     2.6622 7.3163e-01  1.8628269 -0.6841149  0.1155723    33.2254    26.0748     6.5898    1475.76     6.6543
     62.000     6.5841   3.333567     2.6571 6.5280e-01  1.8659976 -0.7391642  0.1114819    33.2304    26.0801     6.5787    1475.74     6.6337
     63.000     6.5865   3.334503     2.6517 6.6214e-01  1.8675570 -0.7298619  0.1140441    33.2379    26.0858     6.5810    1475.78     6.6100
     64.000     6.5809   3.334379     2.6457 5.7098e-01  1.8687637 -0.7080277  0.1172519    33.2415    26.0893     6.5754    1475.77     6.5964
     65.000     6.5998   3.336811     2.6382 5.4652e-01  1.8704677 -0.6907971  0.1134219    33.2495    26.0932     6.5942    1475.88     6.5723
     66.000     6.6050   3.337398     2.6365 5.9048e-01  1.8716636 -0.6675851  0.1151913    33.2505    26.0933     6.5993    1475.91     6.5829
     67.000     6.6961   3.347427     2.6341 4.8220e-01  1.8732760 -0.6767059  0.1156040    33.2722    26.0984     6.6902    1476.31     6.5656
     68.000     6.8297   3.362991     2.6361 4.4155e-01  1.8711370 -0.6391753  0.1139444    33.3134    26.1132     6.8236    1476.91     6.5613
     69.000     6.8354   3.363704     2.6384 4.6864e-01  1.8698972 -0.6001215  0.1176024    33.3153    26.1139     6.8292    1476.95     6.5592
     70.000     6.8362   3.363956     2.6349 3.8914e-01  1.8702972 -0.6030010  0.1139020    33.3167    26.1149     6.8300    1476.97     6.5265
     71.000     6.8468   3.365638     2.6328 3.5813e-01  1.8724614 -0.6194739  0.1151469    33.3245    26.1196     6.8404    1477.04     6.5302
     72.000     6.8668   3.368167     2.6308 3.9650e-01  1.8736338 -0.6085686  0.1136606    33.3323    26.1231     6.8604    1477.14     6.5209
     73.000     6.8722   3.369577     2.6257 3.1778e-01  1.8744806 -0.6147951  0.1129298    33.3421    26.1301     6.8657    1477.19     6.4765
     74.000     6.8825   3.371066     2.6201 3.0781e-01  1.8757877 -0.6160948  0.1107143    33.3480    26.1333     6.8759    1477.25     6.4750
     75.000     6.8760   3.370532     2.6199 3.5222e-01  1.8768373 -0.6090509  0.1154135    33.3479    26.1342     6.8693    1477.24     6.4961
     76.000     6.8680   3.369815     2.6181 3.8317e-01  1.8778515 -0.5930907  0.1147753    33.3473    26.1348     6.8612    1477.23     6.4842
     77.000     6.8645   3.370208     2.6148 2.9353e-01  1.8780797 -0.5971773  0.1134012    33.3545    26.1409     6.8577    1477.24     6.4717
     78.000     6.8735   3.371309     2.6127 3.2955e-01  1.8793793 -0.5963268  0.1148907    33.3574    26.1420     6.8666    1477.29     6.4667
     79.000     6.8895   3.373276     2.6091 2.8921e-01  1.8792194 -0.5919937  0.1162284    33.3630    26.1442     6.8825    1477.38     6.4477
     80.000     6.8669   3.371189     2.6077 2.8277e-01  1.8797041 -0.6144202  0.1164340    33.3616    26.1462     6.8597    1477.31     6.4632
     81.000     6.8420   3.368918     2.6064 3.2977e-01  1.8811039 -0.6232830  0.1147708    33.3603    26.1485     6.8348    1477.22     6.4499
     82.000     6.8049   3.365405     2.6006 2.8126e-01  1.8818636 -0.6311911  0.1163402    33.3572    26.1510     6.7976    1477.09     6.4345
     83.000     6.7781   3.362847     2.5979 2.6754e-01  1.8832021 -0.6600858  0.1123574    33.3546    26.1525     6.7708    1477.00     6.4406
     84.000     6.7533   3.360540     2.5953 2.6549e-01  1.8847570 -0.6800152  0.1160445    33.3529    26.1545     6.7459    1476.92     6.4295
     85.000     6.7384   3.359221     2.5927 2.6022e-01  1.8867087 -0.7193372  0.1136404    33.3524    26.1560     6.7309    1476.87     6.4341
     86.000     6.7265   3.358310     2.5928 2.9939e-01  1.8879300 -0.7399416  0.1168400    33.3534    26.1584     6.7189    1476.84     6.4479
     87.000     6.7386   3.360063     2.5879 2.6155e-01  1.8882673 -0.7131540  0.1153006    33.3605    26.1624     6.7309    1476.92     6.4074
     88.000     6.6808   3.355199     2.5812 2.1652e-01  1.8910548 -0.7598438  0.1140538    33.3626    26.1717     6.6731    1476.71     6.3684
     89.000     6.6367   3.351278     2.5742 2.1604e-01  1.8949451 -0.8101566  0.1106476    33.3618    26.1769     6.6289    1476.55     6.3853
     90.000     6.6956   3.357784     2.5718 2.1069e-01  1.8962899 -0.8003034  0.1216054    33.3757    26.1800     6.6877    1476.82     6.3752
     91.000     6.7861   3.367850     2.5715 2.2459e-01  1.8956714 -0.7445912  0.1147907    33.3981    26.1857     6.7780    1477.21     6.3741
     92.000     6.8327   3.373050     2.5729 2.5819e-01  1.8940002 -0.6920185  0.1143193    33.4094    26.1884     6.8245    1477.43     6.3719
     93.000     6.8707   3.377371     2.5733 2.1523e-01  1.8924424 -0.6388054  0.1152477    33.4194    26.1912     6.8624    1477.60     6.3644
     94.000     6.8827   3.378979     2.5735 2.0671e-01  1.8932368 -0.6275981  0.1138227    33.4250    26.1939     6.8743    1477.67     6.3586
     95.000     6.8969   3.380995     2.5703 2.1579e-01  1.8929533 -0.6240329  0.1172812    33.4328    26.1982     6.8884    1477.75     6.3261
     96.000     6.8620   3.378445     2.5633 2.1879e-01  1.8944602 -0.6279506  0.1149006    33.4382    26.2072     6.8534    1477.64     6.3060
     97.000     6.8455   3.377627     2.5558 2.4278e-01  1.8978436 -0.6569866  0.1153594    33.4448    26.2146     6.8369    1477.60     6.2924
     98.000     6.8548   3.379472     2.5494 1.8402e-01  1.8989962 -0.6476103  0.1164833    33.4556    26.2219     6.8460    1477.67     6.2772
     99.000     6.8188   3.376526     2.5454 1.7751e-01  1.9008242 -0.6491512  0.1168430    33.4578    26.2284     6.8100    1477.55     6.2749
    100.000     6.8267   3.377883     2.5424 1.5700e-01  1.9029241 -0.6575260  0.1145124    33.4645    26.2327     6.8177    1477.60     6.2652
    101.000     6.8595   3.381678     2.5399 1.5327e-01  1.9037325 -0.6601629  0.1094272    33.4737    26.2355     6.8505    1477.76     6.2523
    102.000     6.8503   3.381204     2.5376 1.7997e-01  1.9056596 -0.6631223  0.1151776    33.4771    26.2394     6.8412    1477.74     6.2485
    103.000     6.8284   3.379273     2.5343 1.7906e-01  1.9067826 -0.6745943  0.1180027    33.4767    26.2420     6.8192    1477.67     6.2415
    104.000     6.8124   3.378618     2.5298 1.2799e-01  1.9084577 -0.6927649  0.1176256    33.4846    26.2503     6.8032    1477.64     6.2144
    105.000     6.7960   3.377123     2.5253 1.2270e-01  1.9110777 -0.7114539  0.1124744    33.4837    26.2518     6.7866    1477.59     6.1958
    106.000     6.7593   3.374567     2.5208 1.1619e-01  1.9134973 -0.7462299  0.1145585    33.4909    26.2624     6.7499    1477.47     6.1834
    107.000     6.7298   3.373000     2.5155 1.2275e-01  1.9176258 -0.7727619  0.1150489    33.5018    26.2750     6.7204    1477.38     6.1792
    108.000     6.7302   3.373259     2.5055 1.4636e-01  1.9175090 -0.7430094  0.1179969    33.5039    26.2765     6.7206    1477.40     6.1481
    109.000     6.6824   3.369530     2.4956 1.0168e-01  1.9189082 -0.7736862  0.1141578    33.5090    26.2869     6.6728    1477.24     6.1220
    110.000     6.6168   3.363866     2.4878 9.2806e-02  1.9261503 -0.8328988  0.1195938    33.5101    26.2964     6.6072    1477.00     6.1040
    111.000     6.6126   3.364050     2.4795 8.2784e-02  1.9306990 -0.8524634  0.1161645    33.5158    26.3015     6.6028    1477.00     6.0789
    112.000     6.5993   3.363813     2.4721 7.9855e-02  1.9347803 -0.8724082  0.1223350    33.5257    26.3110     6.5895    1476.98     6.0557
    113.000     6.6166   3.366506     2.4624 7.9479e-02  1.9381500 -0.8718307  0.1157493    33.5380    26.3184     6.6067    1477.08     6.0184
    114.000     6.6107   3.366776     2.4534 7.2568e-02  1.9407645 -0.8729670  0.1185356    33.5463    26.3258     6.6007    1477.09     5.9994
    115.000     6.5854   3.365222     2.4475 7.3508e-02  1.9444435 -0.8940356  0.1217403    33.5535    26.3347     6.5753    1477.01     6.0096
    116.000     6.5788   3.364753     2.4447 7.2011e-02  1.9452857 -0.8898019  0.1185978    33.5542    26.3362     6.5686    1477.00     5.9736
    117.000     6.5945   3.368581     2.4339 6.1768e-02  1.9481586 -0.8982633  0.1203701    33.5806    26.3550     6.5843    1477.11     5.9394
    118.000     6.6240   3.372479     2.4252 6.5839e-02  1.9528622 -0.8778454  0.1229290    33.5944    26.3619     6.6136    1477.26     5.9131
    119.000     6.6684   3.378354     2.4137 6.4347e-02  1.9560580 -0.8477277  0.1213762    33.6153    26.3725     6.6579    1477.48     5.8748
    120.000     6.6985   3.382956     2.4043 6.3724e-02  1.9580948 -0.8161997  0.1201725    33.6360    26.3849     6.6879    1477.64     5.8408
    121.000     6.6841   3.381894     2.3978 6.2144e-02  1.9619096 -0.8174278  0.1202860    33.6379    26.3883     6.6734    1477.60     5.8287
    122.000     6.6804   3.381948     2.3922 5.9071e-02  1.9646295 -0.8336747  0.1205885    33.6417    26.3917     6.6696    1477.61     5.8077
    123.000     6.6551   3.379830     2.3893 5.8605e-02  1.9673776 -0.8524501  0.1181414    33.6427    26.3959     6.6442    1477.52     5.8193
    124.000     6.6337   3.378177     2.3876 6.0994e-02  1.9695576 -0.8679031  0.1210549    33.6449    26.4004     6.6228    1477.46     5.8218
    125.000     6.6302   3.378161     2.3826 6.3295e-02  1.9701168 -0.8564369  0.1257760    33.6476    26.4031     6.6192    1477.47     5.7990
    126.000     6.6296   3.378738     2.3762 5.7372e-02  1.9710560 -0.8654635  0.1202254    33.6542    26.4083     6.6185    1477.49     5.7700
    127.000     6.6293   3.379652     2.3702 5.9618e-02  1.9743549 -0.8781850  0.1220060    33.6641    26.4161     6.6181    1477.52     5.7451
    128.000     6.6332   3.380981     2.3643 5.8145e-02  1.9772070 -0.8771099  0.1232311    33.6745    26.4239     6.6219    1477.56     5.7299
    129.000     6.6349   3.381929     2.3581 5.8060e-02  1.9805253 -0.8785997  0.1237694    33.6827    26.4302     6.6235    1477.59     5.7088
    130.000     6.6350   3.382384     2.3517 5.7937e-02  1.9830469 -0.8747475  0.1238435    33.6872    26.4337     6.6235    1477.62     5.6992
    131.000     6.6349   3.382966     2.3451 6.3215e-02  1.9846442 -0.8698583  0.1253643    33.6932    26.4384     6.6234    1477.64     5.6702
