       PrDM      T090C      C0S/m    Sbeox0V       FlSP     Upoly0     Upoly1     Upoly2      Sal00  Sigma-t00 Potemp090C       SvDM Sbeox0ML/L
      4.000    17.5104   4.391312     2.7560 7.2459e-01  1.6991282  9.0593331  0.0948126    33.7111    24.4037    17.5098    1512.95     5.5006
      5.000    17.4175   4.383011     2.7513 6.5322e-01  1.7000297  9.0265101  0.0970113    33.7167    24.4303    17.4167    1512.70     5.4964
      6.000    17.3293   4.375232     2.7518 6.5594e-01  1.7001505  9.0256253  0.0980804    33.7228    24.4560    17.3283    1512.46     5.5115
      7.000    17.2635   4.369928     2.7432 6.7987e-01  1.7007051  9.0116960  0.0996599    33.7316    24.4783    17.2624    1512.29     5.5028
      8.000    17.0235   4.346634     2.7374 5.9893e-01  1.7070368  8.7791982  0.0975425    33.7303    24.5342    17.0222    1511.58     5.5087
      9.000    16.8593   4.331453     2.7390 5.8051e-01  1.7111425  8.6311831  0.0953649    33.7358    24.5771    16.8579    1511.11     5.5324
     10.000    16.8400   4.330024     2.7394 6.1565e-01  1.7116575  8.5892702  0.0989370    33.7392    24.5843    16.8384    1511.07     5.5297
     11.000    16.7990   4.326791     2.7386 6.1703e-01  1.7118909  8.5766202  0.0958895    33.7451    24.5984    16.7972    1510.97     5.5265
     12.000    16.7374   4.321279     2.7376 6.0370e-01  1.7129239  8.5591716  0.0976547    33.7485    24.6154    16.7354    1510.80     5.5412
     13.000    16.6830   4.316291     2.7392 5.6281e-01  1.7137448  8.4821860  0.0988706    33.7504    24.6296    16.6809    1510.66     5.5461
     14.000    16.6698   4.315224     2.7375 6.2434e-01  1.7139839  8.4530640  0.0963449    33.7518    24.6337    16.6675    1510.64     5.5377
     15.000    16.6409   4.312775     2.7346 5.6191e-01  1.7142855  8.4275290  0.0992586    33.7543    24.6423    16.6385    1510.57     5.5398
     16.000    16.6288   4.311812     2.7334 6.3295e-01  1.7143661  8.4096364  0.0991676    33.7557    24.6463    16.6262    1510.55     5.5354
     17.000    16.6126   4.310593     2.7314 6.2136e-01  1.7145928  8.4027563  0.0988866    33.7583    24.6520    16.6099    1510.52     5.5331
     18.000    16.5819   4.308507     2.7318 5.4058e-01  1.7157706  8.3654074  0.1026584    33.7656    24.6647    16.5790    1510.45     5.5443
     19.000    16.5635   4.307116     2.7322 5.9336e-01  1.7156886  8.3389277  0.0984892    33.7686    24.6713    16.5604    1510.41     5.5452
     20.000    16.5347   4.304750     2.7296 5.4976e-01  1.7161859  8.3266134  0.0995738    33.7717    24.6804    16.5315    1510.35     5.5431
     21.000    16.5133   4.302962     2.7330 5.6639e-01  1.7166862  8.3198000  0.1003769    33.7738    24.6869    16.5100    1510.30     5.5606
     22.000    16.4779   4.300045     2.7374 5.7764e-01  1.7174231  8.2727228  0.0999730    33.7778    24.6982    16.4744    1510.21     5.5747
     23.000    16.4457   4.297529     2.7338 6.4236e-01  1.7171909  8.2444308  0.1003020    33.7825    24.7092    16.4421    1510.14     5.5601
     24.000    16.3329   4.289083     2.7353 6.7549e-01  1.7177670  8.2301969  0.0984705    33.8034    24.7513    16.3291    1509.83     5.5942
     25.000    16.0634   4.266757     2.7491 6.7746e-01  1.7194455  8.1365212  0.0994468    33.8349    24.8371    16.0595    1509.05     5.6735
     26.000    15.7953   4.245175     2.7683 7.0418e-01  1.7207873  7.9723828  0.0986706    33.8719    24.9262    15.7913    1508.28     5.7788
