Sample.number	Marker	replicate	Extraction_lab	Sequencing_lab	Library_name	Location.name	Location.ID	SampleID	Cruise	Station	Tow	net	Mesh_size	Size_frac	Min_depth	Max_depth	Depth_midpoint	depth_bin	Diel	dna-conc	Province	Lat(N)	Lon(W)
S738	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N6	NH1208	34	26	6	100um	na	50	100	75		night	12491.962		33.5469525	-134.9893835
S739	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N7	NH1208	34	26	7	100um	na	25	50	38		night	11690.131		33.5469525	-134.9893835
S740	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N8	NH1208	34	26	8	100um	na	0	25	13		night	9119.284		33.5469525	-134.9893835
S741	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N1	NH1208	34	25	1	100um	na	800	1000	900		day	10800.748		33.5469525	-134.9893835
S742	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N2	NH1208	34	25	2	100um	na	600	800	700		day	11581.5		33.5469525	-134.9893835
S743	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N3	NH1208	34	25	3	100um	na	400	600	500		day	12997.298		33.5469525	-134.9893835
S744	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N4	NH1208	34	25	4	100um	na	200	400	300		day	11085.528		33.5469525	-134.9893835
S745	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N5	NH1208	34	25	5	100um	na	100	200	150		day	7304.561		33.5469525	-134.9893835
S746	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N6	NH1208	34	25	6	100um	na	50	100	75		day	12633.501		33.5469525	-134.9893835
S747	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N7	NH1208	34	25	7	100um	na	25	50	38		day	12634.24		33.5469525	-134.9893835
S748	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N8	NH1208	34	25	8	100um	na	0	25	13		day	12749.358		33.5469525	-134.9893835
S749	COI	rep1	BATS	Allen	Library-BB	na	na	MOCK-EVEN	na	na	na	na	100um	na	na	na	na		na	10600		na	na
S750	COI	rep1	BATS	Allen	Library-BB	na	na	MOCK-STAGGERED	na	na	na	na	100um	na	na	na	na		na	11600		na	na
S751	COI	rep1	BATS	Allen	Library-BB	na	na	NC	na	na	na	na	100um	na	na	na	na		na	1		na	na
S752	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N1	NH1208	7	7	1	100um	na	800	1000	900		day	6101.921		47.0103165	-144.6739975
S753	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N2	NH1208	7	7	2	100um	na	600	800	700		day	10020.098		47.0103165	-144.6739975
S754	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N3	NH1208	7	7	3	100um	na	400	600	500		day	12029.515		47.0103165	-144.6739975
S755	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N4	NH1208	7	7	4	100um	na	200	400	300		day	12703.368		47.0103165	-144.6739975
S756	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N5	NH1208	7	7	5	100um	na	100	200	150		day	14087.75		47.0103165	-144.6739975
S757	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N6	NH1208	7	7	6	100um	na	50	100	75		day	12523.754		47.0103165	-144.6739975
