Sample.number	Marker	replicate	Extraction_lab	Sequencing_lab	Library_name	Location.name	Location.ID	SampleID	Cruise	Station	Tow	net	Mesh_size	Size_frac	Min_depth	Max_depth	Depth_midpoint	depth_bin	Diel	dna-conc	Province	Lat(N)	Lon(W)
S890	18S	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N6	NH1208	34	26	6	100um	na	50	100	75		night	14375.109		33.5469525	-134.9893835
S891	18S	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N7	NH1208	34	26	7	100um	na	25	50	38		night	11715.042		33.5469525	-134.9893835
S892	18S	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N8	NH1208	34	26	8	100um	na	0	25	13		night	11314.678		33.5469525	-134.9893835
S893	18S	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N1	NH1208	34	25	1	100um	na	800	1000	900		day	13975.185		33.5469525	-134.9893835
S894	18S	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N2	NH1208	34	25	2	100um	na	600	800	700		day	7412.489		33.5469525	-134.9893835
S895	18S	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N3	NH1208	34	25	3	100um	na	400	600	500		day	13665.019		33.5469525	-134.9893835
S896	18S	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N4	NH1208	34	25	4	100um	na	200	400	300		day	7296.323		33.5469525	-134.9893835
S897	18S	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N5	NH1208	34	25	5	100um	na	100	200	150		day	13026.55		33.5469525	-134.9893835
S898	18S	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N6	NH1208	34	25	6	100um	na	50	100	75		day	14973.267		33.5469525	-134.9893835
S899	18S	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N7	NH1208	34	25	7	100um	na	25	50	38		day	7677.546		33.5469525	-134.9893835
S900	18S	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N8	NH1208	34	25	8	100um	na	0	25	13		day	15311.328		33.5469525	-134.9893835
S901	18S	rep1	BATS	Allen	Library-BB	na	na	MOCK-EVEN	na	na	na	na	100um	na	na	na	na		na	15100		na	na
S902	18S	rep1	BATS	Allen	Library-BB	na	na	MOCK-STAGGERED	na	na	na	na	100um	na	na	na	na		na	14200		na	na
S903	18S	rep1	BATS	Allen	Library-BB	na	na	NC	na	na	na	na	100um	na	na	na	na		na	5100		na	na
S904	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N1	NH1208	7	7	1	100um	na	800	1000	900		day	15311.328		47.0103165	-144.6739975
S905	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N2	NH1208	7	7	2	100um	na	600	800	700		day	17167.937		47.0103165	-144.6739975
S906	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N3	NH1208	7	7	3	100um	na	400	600	500		day	16891.938		47.0103165	-144.6739975
S907	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N4	NH1208	7	7	4	100um	na	200	400	300		day	12903.327		47.0103165	-144.6739975
S908	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N5	NH1208	7	7	5	100um	na	100	200	150		day	18809.499		47.0103165	-144.6739975
S909	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N6	NH1208	7	7	6	100um	na	50	100	75		day	15635.097		47.0103165	-144.6739975
S910	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N7	NH1208	7	7	7	100um	na	25	50	38		day	17248.554		47.0103165	-144.6739975
S911	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N8	NH1208	7	7	8	100um	na	0	25	13		day	14617.37		47.0103165	-144.6739975
S912	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N1	NH1208	7	8	1	100um	na	800	1000	900		night	14092.743		47.0103165	-144.6739975
S913	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N2	NH1208	7	8	2	100um	na	600	800	700		night	14716.767		47.0103165	-144.6739975
S914	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N3	NH1208	7	8	3	100um	na	500	600	550		night	16651.608		47.0103165	-144.6739975
S915	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N4	NH1208	7	8	4	100um	na	300	500	400		night	14966.107		47.0103165	-144.6739975
S916	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N5	NH1208	7	8	5	100um	na	100	300	200		night	17055.832		47.0103165	-144.6739975
S917	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N6	NH1208	7	8	6	100um	na	50	100	75		night	18674.717		47.0103165	-144.6739975
S918	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N7	NH1208	7	8	7	100um	na	25	50	38		night	17947.759		47.0103165	-144.6739975
S919	18S	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N8	NH1208	7	8	8	100um	na	0	25	13		night	16752.403		47.0103165	-144.6739975
S920	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M11N1	NH1208	15	11	1	100um	na	800	1000	900		day	14970.147		43.04988	-138.1465175
S921	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M11N2	NH1208	15	11	2	100um	na	600	800	700		day	14221.633		43.04988	-138.1465175
S922	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M11N3	NH1208	15	11	3	100um	na	400	600	500		day	15574.886		43.04988	-138.1465175
S923	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M11N4	NH1208	15	11	4	100um	na	200	400	300		day	16327.82		43.04988	-138.1465175
S924	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M11N5	NH1208	15	11	5	100um	na	100	200	150		day	8749.5		43.04988	-138.1465175
S925	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M11N6	NH1208	15	11	6	100um	na	50	100	75		day	15494.526		43.04988	-138.1465175
S926	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M11N7	NH1208	15	11	7	100um	na	25	50	38		day	17296.314		43.04988	-138.1465175
S927	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M11N8	NH1208	15	11	8	100um	na	0	25	13		day	16569.223		43.04988	-138.1465175
S928	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M12N1	NH1208	15	12	1	100um	na	800	1000	900		night	12629.095		43.04988	-138.1465175
S929	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M12N2	NH1208	15	12	2	100um	na	600	800	700		night	18069.045		43.04988	-138.1465175
S930	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M12N3	NH1208	15	12	3	100um	na	400	600	500		night	16871.303		43.04988	-138.1465175
S931	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M12N4	NH1208	15	12	4	100um	na	200	400	300		night	16909.046		43.04988	-138.1465175
S932	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M12N5	NH1208	15	12	5	100um	na	100	200	150		night	19205.018		43.04988	-138.1465175
S933	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M12N6	NH1208	15	12	6	100um	na	50	100	75		night	15698.254		43.04988	-138.1465175
S934	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M12N7	NH1208	15	12	7	100um	na	25	50	38		night	21479.11		43.04988	-138.1465175
S935	18S	rep2	BATS	Allen	Library-BB	Transition East	2	M12N8	NH1208	15	12	8	100um	na	0	25	13		night	19122.652		43.04988	-138.1465175
S936	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N1	NH1208	34	26	1	100um	na	800	1000	900		night	16497.778		33.5469525	-134.9893835
S937	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N2	NH1208	34	26	2	100um	na	600	800	700		night	15674.284		33.5469525	-134.9893835
S938	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N3	NH1208	34	26	3	100um	na	400	600	500		night	18007.542		33.5469525	-134.9893835
S939	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N4	NH1208	34	26	4	100um	na	200	400	300		night	16898.686		33.5469525	-134.9893835
S940	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N5	NH1208	34	26	5	100um	na	100	200	150		night	17789.947		33.5469525	-134.9893835
S941	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N6	NH1208	34	26	6	100um	na	50	100	75		night	19343.925		33.5469525	-134.9893835
S942	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N7	NH1208	34	26	7	100um	na	25	50	38		night	16538.343		33.5469525	-134.9893835
